"Common Name","Scientific Name","Number of Records"
"cogongrass","Imperata cylindrica","38,411"
"Japanese honeysuckle","Lonicera japonica","17,386"
"privet","Ligustrum spp.","8,624"
"kudzu","Pueraria montana var. lobata","1,472"
"Japanese climbing fern","Lygodium japonicum","1,301"
"mimosa","Albizia julibrissin","1,043"
"sericea lespedeza","Lespedeza cuneata","944"
"Chinese tallowtree","Triadica sebifera","713"
"Heterobasidion root rots","Heterobasidion spp.","615"
"southern pine beetle","Dendroctonus frontalis","608"
"pig (feral), wild boar at large","Sus scrofa (feral type)","590"
"chinaberry","Melia azedarach","533"
"Japanese privet","Ligustrum japonicum","526"
"rose","Rosa spp.","446"
"shrubby lespedeza","Lespedeza bicolor","429"
"multicolored Asian lady beetle","Harmonia axyridis","401"
"sacred bamboo","Nandina domestica","398"
"kudzu","Pueraria montana","370"
"soybean rust","Phakopsora pachyrhizi","343"
"white clover","Trifolium repens","337"
"Chinese privet","Ligustrum sinense","320"
"Japanese stiltgrass","Microstegium vimineum","314"
"Callery pear (Bradford pear)","Pyrus calleryana","252"
"henbit","Lamium amplexicaule","235"
"kudzu bug","Megacopta cribraria","216"
"silverleaf whitefly","Bemisia argentifolii","210"
"tall fescue","Festuca arundinacea","207"
"hairy bush clovers","Lespedeza","191"
"johnsongrass","Sorghum halepense","187"
"alligatorweed","Alternanthera philoxeroides","181"
"cucurbit downy mildew","Pseudoperonospora cubensis","172"
"tree-of-heaven","Ailanthus altissima","160"
"Japanese beetle","Popillia japonica","158"
"eastern redcedar","Juniperus virginiana","145"
"Mediterranean gecko","Hemidactylus turcicus","140"
"buckhorn plantain","Plantago lanceolata","139"
"pecan nut casebearer","Acrobasis nuxvorella","136"
"perennial ryegrass","Lolium perenne","127"
"Chinese wisteria","Wisteria sinensis","126"
"thorny olive","Elaeagnus pungens","125"
"crimson clover","Trifolium incarnatum","118"
"black locust","Robinia pseudoacacia","117"
"parrotfeather","Myriophyllum aquaticum","117"
"princesstree","Paulownia tomentosa","115"
"Queen Anne's lace, wild carrot","Daucus carota","113"
"sicklepod","Senna obtusifolia","112"
"spotted spurge","Euphorbia maculata","105"
"wisterias","Wisteria spp.","105"
"fall armyworm","Spodoptera frugiperda","104"
"cutleaf evening-primrose","Oenothera laciniata","103"
"paper-mulberry","Broussonetia papyrifera","97"
"red clover","Trifolium pratense","96"
"eastern poison-ivy","Toxicodendron radicans","96"
"shovel-headed garden worm","Bipalium kewense","95"
"hairy vetch","Vicia villosa","93"
"highbush blackberry","Rubus argutus","93"
"waterpurslane","Ludwigia palustris","92"
"Virginia pepperweed","Lepidium virginicum","90"
"yellow sweet-clover","Melilotus officinalis","90"
"bahiagrass","Paspalum notatum","87"
"common chickweed","Stellaria media","83"
"red imported fire ant","Solenopsis invicta","82"
"showy rattlebox","Crotalaria spectabilis","81"
"common pokeweed","Phytolacca americana","80"
"southern catalpa","Catalpa bignonioides","79"
"fire ants","Solenopsis spp.","78"
"smallflower morningglory","Jacquemontia tamnifolia","78"
"common selfheal","Prunella vulgaris","78"
"common cocklebur","Xanthium strumarium","77"
"golden bamboo","Phyllostachys aurea","76"
"common water hyacinth","Eichhornia crassipes","75"
"Oriental lady's thumb","Persicaria longiseta","75"
"leatherleaf mahonia","Mahonia bealei","75"
"yellow woodsorrel","Oxalis stricta","73"
"purple nutsedge","Cyperus rotundus","72"
"dotted duckmeat","Landoltia punctata","72"
"common chickweed","Stellaria pallida","70"
"Brazilian vervain","Verbena incompta","70"
"large hop clover","Trifolium campestre","69"
"multiflora rose","Rosa multiflora","68"
"large crabgrass","Digitaria sanguinalis","67"
"giant reed","Arundo donax","67"
"common vetch","Vicia sativa","67"
"fire ant decapitating fly","Pseudacteon curvatus","67"
"tuberous vervain","Verbena rigida","66"
"whorled pennywort","Hydrocotyle verticillata","65"
"brown marmorated stink bug","Halyomorpha halys","65"
"shepherd's-purse","Capsella bursa-pastoris","65"
"osage-orange","Maclura pomifera","65"
"knotroot foxtail","Setaria parviflora","64"
"Macartney rose","Rosa bracteata","63"
"watercress","Nasturtium officinale","62"
"bush honeysuckles (exotic)","Lonicera spp.","62"
"fire ant decapitating fly","Pseudacteon tricuspis","62"
"bermudagrass","Cynodon dactylon","61"
"eclipta","Eclipta prostrata","61"
"spiny amaranth","Amaranthus spinosus","61"
"swordfern","Macrothelypteris torresiana","61"
"Canadian horseweed","Erigeron canadensis","60"
"autumn olive","Elaeagnus umbellata","59"
"fusiform rust","Cronartium quercuum f.sp. fusiforme","59"
"red sesbania","Sesbania punicea","59"
"sensitive partridgepea","Chamaecrista nictitans","59"
"pitted morning-glory","Ipomoea lacunosa","58"
"Southern corn rust","Puccinia polysora","58"
"coco yam, wild taro","Colocasia esculenta","57"
"broomsedge bluestem","Andropogon virginicus","57"
"sugarcane aphid","Melanaphis sacchari","56"
"barnyardgrass","Echinochloa crus-galli","55"
"vaseygrass","Paspalum urvillei","55"
"crapemyrtle","Lagerstroemia indica","54"
"Asiatic dayflower","Commelina communis","54"
"goosegrass","Eleusine indica","54"
"bristly locust","Robinia hispida","54"
"dotted smartweed","Persicaria punctata","53"
"trifoliate orange","Citrus trifoliata","53"
"tawny daylily","Hemerocallis fulva","52"
"Japanese clover","Kummerowia striata","52"
"coral ardisia","Ardisia crenata","52"
"Eurasian watermilfoil","Myriophyllum spicatum","52"
"dallisgrass","Paspalum dilatatum","52"
"spiny sowthistle","Sonchus asper","51"
"corn speedwell","Veronica arvensis","51"
"smutgrass","Sporobolus indicus","50"
"common mullein","Verbascum thapsus","50"
"annual bluegrass","Poa annua","50"
"Uruguayan vervain","Verbena montevidensis","50"
"false strawberry","Potentilla indica","50"
"tropical soda apple","Solanum viarum","50"
"curly dock","Rumex crispus ssp. crispus","48"
"curly dock","Rumex crispus","48"
"English ivy","Hedera helix","48"
"rescuegrass","Bromus catharticus","47"
"tall lettuce","Lactuca canadensis","47"
"purple cudweed","Gamochaeta purpurea","46"
"black medic","Medicago lupulina","46"
"ivyleaf morning-glory","Ipomoea hederacea","46"
"sticky chickweed","Cerastium glomeratum","46"
"field brome","Bromus arvensis","45"
"yellow foxtail","Setaria pumila","45"
"dandelion","Taraxacum officinale","45"
"rice flatsedge","Cyperus iria","44"
"white mulberry","Morus alba","44"
"field madder","Sherardia arvensis","43"
"southern crabgrass","Digitaria ciliaris","43"
"glossy privet","Ligustrum lucidum","43"
"torpedograss","Panicum repens","42"
"hydrilla","Hydrilla verticillata","42"
"Brazilian waterweed, Brazilian elodea","Egeria densa","42"
"lambsquarters","Chenopodium album","42"
"chestnut blight or canker","Cryphonectria parasitica","42"
"yellow nutsedge","Cyperus esculentus","42"
"orchardgrass","Dactylis glomerata","41"
"stinking chamomile","Anthemis cotula","41"
"indigobush","Amorpha fruticosa","41"
"red morning-glory","Ipomoea coccinea","40"
"chamber bitter","Phyllanthus urinaria","40"
"sweet autumn virginsbower","Clematis terniflora","40"
"spanishneedles","Bidens bipinnata","40"
"memorial rose","Rosa lucieae","40"
"American burnweed","Erechtites hieraciifolius","39"
"thymeleaf sandwort","Arenaria serpyllifolia","39"
"tall morning-glory","Ipomoea purpurea","38"
"bouncingbet","Saponaria officinalis","38"
"wild garlic","Allium vineale","38"
"rose rosette disease (RRD)","Emaravirus RRD","38"
"Honduras pine","Pinus elliottii var. elliottii","38"
"tall vervain","Verbena bonariensis","37"
"bigroot morning-glory","Ipomoea pandurata","37"
"Uruguayan pampas grass","Cortaderia selloana","37"
"big periwinkle","Vinca major","37"
"rye brome","Bromus secalinus","37"
"jimsonweed","Datura stramonium","36"
"small hop clover","Trifolium dubium","36"
"anglestem beaksedge","Rhynchospora caduca","36"
"oxeye daisy","Leucanthemum vulgare","36"
"Elaeagnus","Elaeagnus spp.","36"
"hybrid imported fire ant","Solenopsis invicta x richteri","36"
"junglerice","Echinochloa colona","36"
"spotted waterhemlock","Cicuta maculata","35"
"white poplar","Populus alba","35"
"peach","Prunus persica","35"
"Phytophthora root rot","Phytophthora cinnamomi","34"
"crowfootgrass","Dactyloctenium aegyptium","34"
"mexicantea","Dysphania ambrosioides","34"
"common pear","Pyrus communis","34"
"corn gromwell","Buglossoides arvensis","34"
"moth mullein","Verbascum blattaria","33"
"Chinese yam","Dioscorea polystachya","33"
"small carpetgrass, joint-head grass","Arthraxon hispidus","33"
"camphortree","Cinnamomum camphora","33"
"cheatgrass, downy brome","Bromus tectorum","33"
"cutleaf geranium","Geranium dissectum","32"
"perilla mint","Perilla frutescens","32"
"ivy","Hedera spp.","32"
"haspan flatsedge","Cyperus haspan","32"
"brittleleaf naiad","Najas minor","31"
