"Common Name","Scientific Name","Number of Records"
"Japanese honeysuckle","Lonicera japonica","9,514"
"sericea lespedeza","Lespedeza cuneata","3,309"
"privet","Ligustrum spp.","2,464"
"corn earworm, tomato fruitworm","Helicoverpa zea","2,094"
"tree-of-heaven","Ailanthus altissima","983"
"hairy bush clovers","Lespedeza","791"
"Japanese stiltgrass","Microstegium vimineum","788"
"mimosa","Albizia julibrissin","687"
"shrubby lespedeza","Lespedeza bicolor","683"
"Heterobasidion root rots","Heterobasidion spp.","683"
"tall fescue","Festuca arundinacea","671"
"pig (feral), wild boar at large","Sus scrofa (feral type)","657"
"eastern redcedar","Juniperus virginiana","517"
"Chinese privet","Ligustrum sinense","500"
"rose","Rosa spp.","498"
"johnsongrass","Sorghum halepense","459"
"southwestern corn borer","Diatraea grandiosella","407"
"multiflora rose","Rosa multiflora","379"
"kudzu","Pueraria montana var. lobata","342"
"southern pine beetle","Dendroctonus frontalis","296"
"white clover","Trifolium repens","289"
"bush honeysuckles (exotic)","Lonicera spp.","282"
"Japanese privet","Ligustrum japonicum","271"
"chinaberry","Melia azedarach","254"
"oak wilt","Bretziella fagacearum","253"
"henbit","Lamium amplexicaule","239"
"Chinese tallowtree","Triadica sebifera","220"
"princesstree","Paulownia tomentosa","207"
"red imported fire ant","Solenopsis invicta","192"
"sacred bamboo","Nandina domestica","178"
"Callery pear (Bradford pear)","Pyrus calleryana","176"
"red clover","Trifolium pratense","157"
"common mullein","Verbascum thapsus","151"
"hairy vetch","Vicia villosa","146"
"cutleaf evening-primrose","Oenothera laciniata","145"
"multicolored Asian lady beetle","Harmonia axyridis","144"
"common selfheal","Prunella vulgaris","144"
"spotted spurge","Euphorbia maculata","135"
"Southern corn rust","Puccinia polysora","132"
"buckhorn plantain","Plantago lanceolata","131"
"common vetch","Vicia sativa","130"
"purple cudweed","Gamochaeta purpurea","129"
"Virginia pepperweed","Lepidium virginicum","128"
"perilla mint","Perilla frutescens","127"
"black locust","Robinia pseudoacacia","127"
"Canadian horseweed","Erigeron canadensis","124"
"yellow woodsorrel","Oxalis stricta","121"
"spiny sowthistle","Sonchus asper","120"
"knotroot foxtail","Setaria parviflora","119"
"trifoliate orange","Citrus trifoliata","118"
"yellow sweet-clover","Melilotus officinalis","117"
"tall lettuce","Lactuca canadensis","115"
"large hop clover","Trifolium campestre","113"
"shepherd's-purse","Capsella bursa-pastoris","113"
"bermudagrass","Cynodon dactylon","113"
"common chickweed","Stellaria pallida","113"
"dandelion","Taraxacum officinale","111"
"sensitive partridgepea","Chamaecrista nictitans","111"
"corn speedwell","Veronica arvensis","111"
"gray mold","Botrytis cinerea","110"
"southern crabgrass","Digitaria ciliaris","108"
"osage-orange","Maclura pomifera","108"
"spreading hedgeparsley","Torilis arvensis","107"
"curly dock","Rumex crispus","106"
"curly dock","Rumex crispus ssp. crispus","105"
"purple deadnettle","Lamium purpureum","104"
"european starling","Sturnus vulgaris","103"
"perennial ryegrass","Lolium perenne","103"
"broomsedge bluestem","Andropogon virginicus","102"
"common cocklebur","Xanthium strumarium","100"
"Asiatic dayflower","Commelina communis","100"
"eclipta","Eclipta prostrata","100"
"Japanese climbing fern","Lygodium japonicum","100"
"sugarcane aphid","Melanaphis sacchari","100"
"goosegrass","Eleusine indica","100"
"dallisgrass","Paspalum dilatatum","97"
"Japanese beetle","Popillia japonica","95"
"stinking chamomile","Anthemis cotula","94"
"rye brome","Bromus secalinus","94"
"small hop clover","Trifolium dubium","92"
"dotted smartweed","Persicaria punctata","91"
"lambsquarters","Chenopodium album","90"
"Japanese clover","Kummerowia striata","90"
"American burnweed","Erechtites hieraciifolius","89"
"watercress","Nasturtium officinale","89"
"Queen Anne's lace, wild carrot","Daucus carota","88"
