"Common Name","Scientific Name","Number of Records"
"giant reed","Arundo donax","48,523"
"yellow starthistle","Centaurea solstitialis","25,343"
"French broom","Genista monspessulana","18,904"
"red sesbania","Sesbania punicea","18,898"
"fennel","Foeniculum vulgare","14,275"
"common water hyacinth","Eichhornia crassipes","12,717"
"tree tobacco","Nicotiana glauca","12,549"
"cardoon","Cynara cardunculus","11,657"
"purple pampasgrass","Cortaderia jubata","10,646"
"bull thistle","Cirsium vulgare","9,404"
"stinkwort","Dittrichia graveolens","9,335"
"Uruguayan pampas grass","Cortaderia selloana","9,241"
"bulbous canarygrass","Phalaris aquatica","8,951"
"panic veldtgrass","Ehrharta erecta","7,589"
"Himalayan blackberry","Rubus armeniacus","7,072"
"saltcedar","Tamarix ramosissima","7,013"
"Scotch broom","Cytisus scoparius","6,758"
"perennial pepperweed","Lepidium latifolium","6,716"
"Italian plumeless thistle","Carduus pycnocephalus","6,543"
"Malta starthistle","Centaurea melitensis","6,294"
"barb goatgrass","Aegilops triuncialis","6,124"
"common yarrow","Achillea millefolium","5,740"
"white horehound","Marrubium vulgare","5,605"
"medusahead","Taeniatherum caput-medusae","5,489"
"shortpod mustard","Hirschfeldia incana","5,341"
"cheatgrass, downy brome","Bromus tectorum","5,182"
"poison hemlock","Conium maculatum","4,887"
"castorbean","Ricinus communis","4,739"
"Australian saltbush","Atriplex semibaccata","4,600"
"cape ivy","Delairea odorata","4,539"
"perennial veldtgrass","Ehrharta calycina","4,487"
"croftonweed","Ageratina adenophora","4,322"
"English ivy","Hedera helix","4,318"
"African mustard","Brassica tournefortii","4,274"
"Spanish broom","Spartium junceum","4,266"
"blessed milkthistle","Silybum marianum","3,901"
"strawflower","Helichrysum petiolare","3,683"
"multicolored Asian lady beetle","Harmonia axyridis","3,631"
"purple starthistle","Centaurea calcitrapa","3,578"
"crimson fountaingrass","Cenchrus setaceus","3,384"
"bermudagrass","Cynodon dactylon","3,211"
"big periwinkle","Vinca major","3,148"
"red brome","Bromus rubens","3,102"
"tree-of-heaven","Ailanthus altissima","3,022"
"hottentot fig","Carpobrotus edulis","2,990"
"musk thistle, nodding thistle","Carduus nutans","2,952"
"incense-cedar","Calocedrus decurrens","2,927"
"Canada thistle","Cirsium arvense","2,778"
"ripgut brome","Bromus diandrus","2,739"
"buckhorn plantain","Plantago lanceolata","2,679"
"Russian thistle","Salsola tragus","2,667"
"Brazilian peppertree","Schinus terebinthifolia","2,661"
"oxeye daisy","Leucanthemum vulgare","2,645"
"common St. Johnswort","Hypericum perforatum","2,486"
"California poppy","Eschscholzia californica","2,474"
"Washington fan palm","Washingtonia robusta","2,389"
"hairy vetch","Vicia villosa","2,339"
"Scotch thistle","Onopordum acanthium","2,159"
"Canary Island date palm","Phoenix canariensis","2,133"
"denseflower cordgrass","Spartina densiflora","2,094"
"common velvetgrass","Holcus lanatus","1,978"
"redstem filaree","Erodium cicutarium","1,900"
"rush skeletonweed","Chondrilla juncea","1,864"
"purple loosestrife","Lythrum salicaria","1,845"
"silverleaf cotoneaster","Cotoneaster pannosus","1,794"
"common mullein","Verbascum thapsus","1,774"
"eggleaf spurge","Euphorbia oblongata","1,768"
"spotted knapweed","Centaurea stoebe ssp. micranthos","1,758"
"edible fig","Ficus carica","1,753"
"oppositeleaf Russian thistle","Salsola soda","1,683"
"tall fescue","Festuca arundinacea","1,668"
"buttercup oxalis","Oxalis pes-caprae","1,604"
"European beachgrass","Ammophila arenaria","1,588"
"spotted spurge","Euphorbia maculata","1,529"
"Mediterranean broom","Genista linifolia","1,518"
"smallflower tamarisk","Tamarix parviflora","1,468"
"Peruvian peppertree","Schinus molle","1,450"
"black mustard","Brassica nigra","1,447"
"white clover","Trifolium repens","1,402"
"Algerian sea lavender","Limonium ramosissimum","1,400"
"Tasmanian bluegum","Eucalyptus globulus","1,347"
"black acacia","Acacia melanoxylon","1,329"
"coyote","Canis latrans","1,313"
"radish","Raphanus sativus","1,308"
"hairy wallaby grass","Rytidosperma penicillatum","1,290"
"stinknet","Oncosiphon piluliferum","1,244"
"orange cotoneaster","Cotoneaster franchetii","1,215"
"common teasel","Dipsacus fullonum","1,182"
"soft brome","Bromus hordeaceus","1,166"
"Dyer's woad","Isatis tinctoria","1,130"
"rattail fescue","Vulpia myuros","1,126"
"orchardgrass","Dactylis glomerata","1,112"
"annual false-brome","Brachypodium distachyon","1,110"
"ngaio tree","Myoporum laetum","1,097"
"curly dock","Rumex crispus","1,046"
"common chickweed","Stellaria media","1,034"
"red sorrel","Rumex acetosella","1,001"
"scarlet pimpernel","Anagallis arvensis","986"
"puncturevine","Tribulus terrestris","939"
"foxglove","Digitalis purpurea","935"
"pennyroyal","Mentha pulegium","910"
"true armyworm","Mythimna unipuncta","897"
"diffuse knapweed","Centaurea diffusa","877"
"tumble mustard","Sisymbrium altissimum","846"
"slender oat","Avena barbata","831"
"perennial false-brome","Brachypodium sylvaticum","827"
"slenderleaf iceplant","Mesembryanthemum nodiflorum","815"
"giant salvinia","Salvinia molesta","800"
"hedgehog dogtailgrass","Cynosurus echinatus","799"
"wild oat","Avena fatua","774"
"New Zealand spinach","Tetragonia tetragonioides","774"
"Russian knapweed","Rhaponticum repens","768"
"henbit","Lamium amplexicaule","751"
"spreading hedgeparsley","Torilis arvensis","730"
"dwarf eelgrass","Zostera japonica","730"
"bristly oxtongue","Helminthotheca echioides","721"
"rabbitfoot polypogon","Polypogon monspeliensis","715"
"common purslane","Portulaca oleracea","711"
"big quakinggrass","Briza maxima","706"
"English holly","Ilex aquifolium","693"
"California burclover","Medicago polymorpha","692"
"red-eared slider","Trachemys scripta elegans","679"
"creeping capeweed","Arctotheca prostrata","649"
"woolly distaff thistle","Carthamus lanatus","642"
"pride of Madeira","Echium candicans","635"
"gorse","Ulex europaeus","614"
"Algerian sea lavender","Limonium ramosissimum ssp. provinciale","610"
"prickly lettuce","Lactuca serriola","574"
"black locust","Robinia pseudoacacia","565"
"pig (feral), wild boar at large","Sus scrofa (feral type)","563"
"smooth cat's ear","Hypochaeris glabra","562"
"dandelion","Taraxacum officinale","559"
"mouse barley","Hordeum murinum","553"
"perennial ryegrass","Lolium perenne","551"
"parrotfeather","Myriophyllum aquaticum","550"
"broadleaf forget-me-not","Myosotis latifolia","541"
"Fuller's teasel","Dipsacus sativus","541"
"New Zealand mud snail","Potamopyrgus antipodarum","540"
"pineapple-weed","Matricaria discoidea","519"
"rose clover","Trifolium hirtum","510"
"London rocket","Sisymbrium irio","506"
"hanging sedge","Carex pendula","494"
"kikuyugrass","Pennisetum clandestinum","491"
"African asparagus fern","Asparagus asparagoides","489"
"crowndaisy","Glebionis coronaria","486"
"Eurasian watermilfoil","Myriophyllum spicatum","485"
"Japanese knotweed","Reynoutria japonica","483"
"hoary cress","Lepidium draba","475"
"yellow sweet-clover","Melilotus officinalis","461"
"Geraldton carnation weed","Euphorbia terracina","460"
"Algerian ivy","Hedera canariensis","455"
"evergreen clematis","Clematis vitalba","449"
"cutleaf geranium","Geranium dissectum","443"
