"Common Name","Scientific Name","Number of Records"
"Canada thistle","Cirsium arvense","53,965"
"musk thistle, nodding thistle","Carduus nutans","39,262"
"yellow toadflax","Linaria vulgaris","21,159"
"Russian knapweed","Rhaponticum repens","13,754"
"common mullein","Verbascum thapsus","13,170"
"houndstongue","Cynoglossum officinale","11,968"
"perennial pepperweed","Lepidium latifolium","10,608"
"hoary cress","Lepidium draba","9,644"
"diffuse knapweed","Centaurea diffusa","8,133"
"Dalmatian toadflax","Linaria dalmatica","5,874"
"oxeye daisy","Leucanthemum vulgare","5,797"
"cheatgrass, downy brome","Bromus tectorum","4,823"
"leafy spurge","Euphorbia esula","4,369"
"field bindweed","Convolvulus arvensis","3,875"
"Russian olive","Elaeagnus angustifolia","3,608"
"Scotch thistle","Onopordum acanthium","3,540"
"purple loosestrife","Lythrum salicaria","3,434"
"bull thistle","Cirsium vulgare","3,363"
"mayweed, scentless chamomile","Tripleurospermum inodorum","3,007"
"tamarisk","Tamarix spp.","2,921"
"spotted knapweed","Centaurea stoebe ssp. micranthos","2,604"
"myrtle spurge","Euphorbia myrsinites","2,334"
"yellow starthistle","Centaurea solstitialis","2,074"
"saltcedar","Tamarix ramosissima","1,858"
"hairy willowherb","Epilobium hirsutum","1,594"
"spiny plumeless thistle","Carduus acanthoides","1,555"
"redstem filaree","Erodium cicutarium","1,314"
"black henbane","Hyoscyamus niger","1,264"
"common teasel","Dipsacus fullonum","1,102"
"stinking chamomile","Anthemis cotula","783"
"chicory","Cichorium intybus","680"
"bouncingbet","Saponaria officinalis","632"
"orange hawkweed","Pilosella aurantiaca","603"
"tree-of-heaven","Ailanthus altissima","581"
"poison hemlock","Conium maculatum","576"
"hoary alyssum","Berteroa incana","548"
"sulfur cinquefoil","Potentilla recta","545"
"smooth brome","Bromus inermis","519"
"corn chamomile","Anthemis arvensis","501"
"broomleaf toadflax","Linaria genistifolia","487"
"absinth wormwood","Artemisia absinthium","484"
"curly dock","Rumex crispus","460"
"common burdock, lesser burdock","Arctium minus","420"
"dames rocket","Hesperis matronalis","416"
"puncturevine","Tribulus terrestris","394"
"teasel","Dipsacus","389"
"giant reed","Arundo donax","377"
"common yarrow","Achillea millefolium","328"
"Mediterranean sage","Salvia aethiopis","326"
"bull cottonthistle","Onopordum tauricum","307"
"toadflax","Linaria spp.","286"
"dandelion","Taraxacum officinale","286"
"Kentucky bluegrass","Poa pratensis","276"
"cottonthistle","Onopordum","257"
"red clover","Trifolium pratense","254"
"common tansy","Tanacetum vulgare","250"
"Japanese beetle","Popillia japonica","240"
"yellow sweet-clover","Melilotus officinalis","240"
"common St. Johnswort","Hypericum perforatum","227"
"timothy","Phleum pratense","223"
"Russian thistle","Salsola tragus","221"
"leafy spurge","Euphorbia esula var. esula","213"
"cutleaf teasel","Dipsacus laciniatus","209"
"Mexican fireweed","Bassia scoparia","187"
"pale yellow iris, yellow flag iris","Iris pseudacorus","186"
"oriental virginsbower","Clematis orientalis","182"
"fivestamen tamarisk","Tamarix chinensis","181"
"garlic mustard","Alliaria petiolata","180"
"prickly lettuce","Lactuca serriola","179"
"moth mullein","Verbascum blattaria","172"
"white clover","Trifolium repens","168"
"western salsify","Tragopogon dubius","164"
"western spruce budworm moth","Choristoneura occidentalis","158"
"Siberian elm","Ulmus pumila","155"
"quackgrass","Elymus repens","154"
"crested wheatgrass","Agropyron cristatum","147"
"flixweed","Descurainia sophia","143"
"mountain pine beetle","Dendroctonus ponderosae","140"
"tumble mustard","Sisymbrium altissimum","139"
"spruce beetle","Dendroctonus rufipennis","137"
"redtop","Agrostis gigantea","136"
"lambsquarters","Chenopodium album","133"
"Douglas-fir beetle","Dendroctonus pseudotsugae","131"
"large aspen tortrix","Choristoneura conflictana","129"
"jointed goatgrass","Aegilops cylindrica","124"
"fir engraver","Scolytus ventralis","110"
"halogeton, saltlover","Halogeton glomeratus","108"
"bulbous bluegrass","Poa bulbosa","104"
"sheep fescue","Festuca trachyphylla","100"
"field brome","Bromus arvensis","95"
"alpine knapweed, Tyrol knapweed","Centaurea nigrescens","93"
"field pennycress","Thlaspi arvense","93"
"European red raspberry","Rubus idaeus","93"
