"Common Name","Scientific Name","Number of Records"
"cogongrass","Imperata cylindrica","41,692"
"Brazilian peppertree","Schinus terebinthifolia","40,583"
"old world climbing fern","Lygodium microphyllum","16,965"
"Japanese climbing fern","Lygodium japonicum","14,992"
"melaleuca","Melaleuca quinquenervia","13,835"
"torpedograss","Panicum repens","13,547"
"green iguana","Iguana iguana","9,931"
"Burmese python","Python molurus ssp. bivittatus","9,833"
"Chinese tallowtree","Triadica sebifera","9,213"
"Caesarweed","Urena lobata","8,809"
"Argentine black and white tegu","Salvator merianae","8,397"
"european starling","Sturnus vulgaris","8,162"
"house sparrow","Passer domesticus","7,152"
"rock pigeon","Columba livia","5,595"
"Peter’s rock agama","Agama picticauda","5,547"
"limpograss","Hemarthria altissima","5,380"
"mimosa","Albizia julibrissin","4,492"
"brown anole","Anolis sagrei","4,357"
"air-potato","Dioscorea bulbifera","4,249"
"Eurasian collared-dove","Streptopelia decaocto","3,999"
"camphortree","Cinnamomum camphora","3,820"
"rosarypea","Abrus precatorius","3,808"
"natalgrass","Melinis repens","3,771"
"Australian-pine","Casuarina equisetifolia","3,621"
"largeleaf lantana","Lantana camara","3,321"
"Florida SLE mosquito","Culex nigripalpus","3,123"
"Muscovy duck","Cairina moschata","3,086"
"lionfish","Pterois volitans","3,042"
"chinaberry","Melia azedarach","2,803"
"Cuban treefrog","Osteopilus septentrionalis","2,648"
"tropical soda apple","Solanum viarum","2,558"
"guineagrass","Megathyrsus maximus","2,444"
"brown basilisk","Basiliscus vittatus","2,439"
"vaseygrass","Paspalum urvillei","2,437"
"New Guinea flatworm","Platydemus manokwari","2,290"
"house finch","Carpodacus mexicanus","2,251"
"apple snails","Pomacea spp.","2,233"
"Nile monitor","Varanus niloticus","2,089"
"coral ardisia","Ardisia crenata","2,049"
"black spiny-tailed iguana","Ctenosaura similis","2,032"
"white-winged dove","Zenaida asiatica","1,988"
"knight anole","Anolis equestris","1,958"
"Chinese privet","Ligustrum sinense","1,955"
"white leadtree","Leucaena leucocephala","1,928"
"crowfootgrass","Dactyloctenium aegyptium","1,882"
"tropical house gecko","Hemidactylus mabouia","1,876"
"primrose-willow","Ludwigia peruviana","1,791"
"Sprenger's asparagus fern","Asparagus aethiopicus","1,784"
"Japanese honeysuckle","Lonicera japonica","1,758"
"southern house mosquito","Culex quinquefasciatus","1,637"
"burmareed","Neyraudia reynaudiana","1,617"
"Egyptian goose","Alopochen aegyptiaca","1,537"
"cane toad","Rhinella marina","1,511"
"mosquito","Anopheles crucians","1,455"
"narrow swordfern","Nephrolepis cordifolia","1,436"
"coco yam, wild taro","Colocasia esculenta","1,336"
"rose myrtle","Rhodomyrtus tomentosa","1,295"
"mosquito","Culex erraticus","1,292"
"Bay Biscayne creeping-oxeye","Sphagneticola trilobata","1,290"
"Asian tiger mosquito","Aedes albopictus","1,255"
"monk parakeet","Myiopsitta monachus","1,255"
"skunk-vine","Paederia foetida","1,227"
"West Indian marsh grass","Hymenachne amplexicaulis","1,226"
"water fern","Salvinia minima","1,226"
"Indian peafowl","Pavo cristatus","1,202"
"pig (feral), wild boar at large","Sus scrofa (feral type)","1,145"
"portia tree","Thespesia populnea","1,121"
