"Common Name","Scientific Name","Number of Records"
"Japanese honeysuckle","Lonicera japonica","17,138"
"privet","Ligustrum spp.","8,750"
"silverleaf whitefly","Bemisia argentifolii","3,944"
"Chinese privet","Ligustrum sinense","3,852"
"Joro spider","Trichonephila clavata","2,768"
"sericea lespedeza","Lespedeza cuneata","2,197"
"Japanese stiltgrass","Microstegium vimineum","1,893"
"mimosa","Albizia julibrissin","1,767"
"kudzu","Pueraria montana var. lobata","1,607"
"chinaberry","Melia azedarach","1,476"
"southern pine beetle","Dendroctonus frontalis","1,450"
"Heterobasidion root rots","Heterobasidion spp.","1,442"
"pig (feral), wild boar at large","Sus scrofa (feral type)","1,377"
"stink bugs (Family Pentatomidae)","","1,377"
"Japanese climbing fern","Lygodium japonicum","1,179"
"corn earworm, tomato fruitworm","Helicoverpa zea","1,052"
"Chinese tallowtree","Triadica sebifera","837"
"English ivy","Hedera helix","827"
"leatherleaf mahonia","Mahonia bealei","799"
"thrips","","753"
"cogongrass","Imperata cylindrica","680"
"kudzu bug","Megacopta cribraria","609"
"Chinese wisteria","Wisteria sinensis","528"
"shrubby lespedeza","Lespedeza bicolor","511"
"autumn olive","Elaeagnus umbellata","501"
"hairy bush clovers","Lespedeza","480"
"tomato spotted wilt virus (TSWV)","Tospovirus TSWV","435"
"common pokeweed","Phytolacca americana","408"
"Southern corn rust","Puccinia polysora","397"
"cotton aphid","Aphis gossypii","386"
"spider mites","","382"
"multiflora rose","Rosa multiflora","377"
"thorny olive","Elaeagnus pungens","369"
"multicolored Asian lady beetle","Harmonia axyridis","357"
"soybean looper","Chrysodeixis includens","352"
"Callery pear (Bradford pear)","Pyrus calleryana","350"
"henbit","Lamium amplexicaule","348"
"laurel wilt","Raffaelea lauricola","343"
"rose","Rosa spp.","338"
"pecan nut casebearer","Acrobasis nuxvorella","333"
"sacred bamboo","Nandina domestica","332"
"soybean rust","Phakopsora pachyrhizi","316"
"fall armyworm","Spodoptera frugiperda","314"
"southern blight","Athelia rolfsii","308"
"tall fescue","Festuca arundinacea","307"
"lesser cornstalk borer","Elasmopalpus lignosellus","298"
"velvetbean caterpillar","Anticarsia gemmatalis","288"
"shovel-headed garden worm","Bipalium kewense","287"
"white clover","Trifolium repens","279"
"johnsongrass","Sorghum halepense","274"
"sugarcane aphid","Melanaphis sacchari","274"
"Cercospora leaf spot","Cercospora arachidicola","233"
"alligatorweed","Alternanthera philoxeroides","230"
"tree-of-heaven","Ailanthus altissima","226"
"kudzu","Pueraria montana","222"
"eastern redcedar","Juniperus virginiana","204"
"princesstree","Paulownia tomentosa","196"
"fire ants","Solenopsis spp.","187"
"red imported fire ant","Solenopsis invicta","182"
"Japanese privet","Ligustrum japonicum","179"
"bermudagrass stem maggot","Atherigona reversura","179"
"wisterias","Wisteria spp.","178"
"Japanese beetle","Popillia japonica","175"
"Japanese chaff flower","Achyranthes japonica","169"
"northern corn leaf blight","Exserohilum turcicum","162"
"fire ant decapitating fly","Pseudacteon curvatus","159"
"late leaf spot","Passalora personata","156"
"fusiform rust","Cronartium quercuum f.sp. fusiforme","151"
"trifoliate orange","Citrus trifoliata","148"
"spotted-wing drosophila","Drosophila suzukii","147"
"cutleaf evening-primrose","Oenothera laciniata","139"
"fire ant decapitating fly","Pseudacteon tricuspis","137"
"rose rosette disease (RRD)","Emaravirus RRD","132"
"Queen Anne's lace, wild carrot","Daucus carota","131"
"gray mold","Botrytis cinerea","130"
"Elaeagnus","Elaeagnus spp.","126"
"smallflower morningglory","Jacquemontia tamnifolia","123"
"buckhorn plantain","Plantago lanceolata","122"
"cucurbit downy mildew","Pseudoperonospora cubensis","116"
"purple deadnettle","Lamium purpureum","116"
"bush honeysuckles (exotic)","Lonicera spp.","114"
"hemlock woolly adelgid","Adelges tsugae","111"
"black mold","Aspergillus niger","111"
"field madder","Sherardia arvensis","110"
"red clover","Trifolium pratense","110"
"glossy privet","Ligustrum lucidum","109"
"dandelion","Taraxacum officinale","107"
"aphids","","107"
"golden bamboo","Phyllostachys aurea","106"
"marsh dayflower","Murdannia keisak","105"
"bark beetles (Subfamily Scolytinae)","","103"
"emerald ash borer","Agrilus planipennis","102"
"Japanese clover","Kummerowia striata","101"
"tropical soda apple","Solanum viarum","98"
"brown marmorated stink bug","Halyomorpha halys","97"
"bark beetles","Hypothenemus spp.","97"
"granulate ambrosia beetle","Xylosandrus crassiusculus","95"
"Rhizoctonia damping-off, blight and rot","Rhizoctonia solani","94"
"Brazilian vervain","Verbena incompta","93"
"camphortree","Cinnamomum camphora","91"
"chamber bitter","Phyllanthus urinaria","88"
"Japanese knotweed","Reynoutria japonica","87"
"ivy","Hedera spp.","86"
"broomsedge bluestem","Andropogon virginicus","85"
"Canadian horseweed","Erigeron canadensis","84"
"pecan phylloxera","Phylloxera devastatrix","83"
"purple cudweed","Gamochaeta purpurea","83"
"red sesbania","Sesbania punicea","83"
"crimson clover","Trifolium incarnatum","82"
"common water hyacinth","Eichhornia crassipes","81"
"Honduras pine","Pinus elliottii var. elliottii","80"
"southern catalpa","Catalpa bignonioides","79"
"giant reed","Arundo donax","79"
"common selfheal","Prunella vulgaris","79"
"twospotted spider mite","Tetranychus urticae","78"
"dogwood anthracnose","Discula destructiva","78"
"spotted spurge","Euphorbia maculata","78"
"round leaf bittersweet","Celastrus orbiculatus","78"
"parrotfeather","Myriophyllum aquaticum","77"
"common chickweed","Stellaria media","77"
"eastern poison-ivy","Toxicodendron radicans","77"
"waterpurslane","Ludwigia palustris","77"
"hairy vetch","Vicia villosa","76"
"flyspeck","Schizothyrium pomi","75"
"swordfern","Macrothelypteris torresiana","73"
"Mediterranean gecko","Hemidactylus turcicus","72"
"showy rattlebox","Crotalaria spectabilis","69"
"common mullein","Verbascum thapsus","69"
"dotted smartweed","Persicaria punctata","68"
"vaseygrass","Paspalum urvillei","68"
