"Common Name","Scientific Name","Number of Records"
"leafy spurge","Euphorbia esula","47,187"
"spotted knapweed","Centaurea stoebe ssp. micranthos","30,661"
"Canada thistle","Cirsium arvense","22,261"
"rush skeletonweed","Chondrilla juncea","15,762"
"yellow toadflax","Linaria vulgaris","12,395"
"musk thistle, nodding thistle","Carduus nutans","10,421"
"Scotch thistle","Onopordum acanthium","8,624"
"houndstongue","Cynoglossum officinale","8,157"
"yellow foxtail","Setaria pumila","7,071"
"hoary cress","Lepidium draba","5,852"
"Russian knapweed","Rhaponticum repens","5,496"
"cheatgrass, downy brome","Bromus tectorum","5,430"
"meadow hawkweed","Hieracium caespitosum","5,132"
"tansy ragwort","Jacobaea vulgaris","4,824"
"diffuse knapweed","Centaurea diffusa","4,477"
"crested wheatgrass","Agropyron cristatum","3,352"
"common St. Johnswort","Hypericum perforatum","2,828"
"Dalmatian toadflax","Linaria dalmatica","2,783"
"field bindweed","Convolvulus arvensis","2,612"
"black henbane","Hyoscyamus niger","2,510"
"knapweed root weevil","Cyphocleonus achates","2,275"
"oxeye daisy","Leucanthemum vulgare","2,218"
"Dyer's woad","Isatis tinctoria","2,206"
"bull thistle","Cirsium vulgare","1,945"
"poison hemlock","Conium maculatum","1,650"
"sulfur cinquefoil","Potentilla recta","1,472"
"Scotch broom","Cytisus scoparius","1,462"
"Eurasian watermilfoil","Myriophyllum spicatum","1,430"
"black dot spurge flea beetle","Aphthona nigriscutis","1,414"
"Japanese knotweed","Reynoutria japonica","1,391"
"yellow starthistle","Centaurea solstitialis","1,289"
"smooth brome","Bromus inermis","1,284"
"common viper's bugloss, blueweed","Echium vulgare","1,241"
"saltcedar","Tamarix ramosissima","1,124"
"hoary alyssum","Berteroa incana","1,080"
"copper leafy spurge flea beetle","Aphthona flava","1,080"
"orange hawkweed","Pilosella aurantiaca","1,067"
"lesser knapweed flower weevil","Larinus minutus","1,032"
"common mullein","Verbascum thapsus","1,028"
"perennial pepperweed","Lepidium latifolium","995"
"flea beetles","Aphthona spp.","978"
"common tansy","Tanacetum vulgare","934"
"whitetop","Cardaria spp.","817"
"Russian olive","Elaeagnus angustifolia","787"
"puncturevine","Tribulus terrestris","593"
"white bryony","Bryonia alba","588"
"Mediterranean sage","Salvia aethiopis","556"
"purple loosestrife","Lythrum salicaria","538"
"Bohemian knotweed, Hybrid Japanese knotweed","Reynoutria x bohemica","459"
"New Zealand mud snail","Potamopyrgus antipodarum","432"
"Canada thistle stem mining weevil","Ceutorhynchus litura","384"
"Canada thistle stem-gall fly","Urophora cardui","355"
"yellow starthistle hairy weevil","Eustenopus villosus","324"
"hawkweeds","Hieracium spp.","317"
"common burdock, lesser burdock","Arctium minus","304"
"matgrass","Nardus stricta","300"
"thistle tortoise beetle","Cassida rubiginosa","299"
"jointed goatgrass","Aegilops cylindrica","274"
"curly leaf pondweed","Potamogeton crispus","268"
"stem-boring weevil","Mecinus janthinus","263"
"perennial sowthistle","Sonchus arvensis","251"
"small bugloss","Anchusa arvensis","247"
"bulbous bluegrass","Poa bulbosa","236"
"common bugloss","Anchusa officinalis","232"
"broad-nosed knapweed seed head weevil","Bangasternus fausti","223"
"stem-boring weevil","Mecinus janthiniformis","220"
"Canada thistle stem mining weevil","Hadroplontus litura","208"
"flowering rush","Butomus umbellatus","192"
"halogeton, saltlover","Halogeton glomeratus","186"
"brown-legged spurge flea beetle","Aphthona lacertosa","184"
"reed canarygrass","Phalaris arundinacea","152"
"thistle crown weevil","Trichosirocalus horridus","146"
"spiny plumeless thistle","Carduus acanthoides","143"
"bur buttercup","Ceratocephala testiculata","126"
"Douglas-fir beetle","Dendroctonus pseudotsugae","125"
"","Choristoneura occidentalis","124"
"tall buttercup","Ranunculus acris","119"
"western salsify","Tragopogon dubius","119"
"common crupina","Crupina vulgaris","118"
"large aspen tortrix","Choristoneura conflictana","118"
"leafy spurge stem boring beetle","Oberea erythrocephala bicolor","118"
"Italian plumeless thistle","Carduus pycnocephalus","117"
"blunt knapweed flower weevil","Larinus obtusus","113"
"mountain pine beetle","Dendroctonus ponderosae","109"
"balsam woolly aphid","Dreyfusia piceae","106"
"dandelion","Taraxacum officinale","102"
"lambsquarters","Chenopodium album","101"
"white clover","Trifolium repens","100"
"burdock","Arctium","100"
"spruce beetle","Dendroctonus rufipennis","100"
"bittersweet nightshade","Solanum dulcamara","99"
"field pennycress","Thlaspi arvense","98"
"common yarrow","Achillea millefolium","97"
"knapweed gall fly","Urophora affinis","96"
"watercress","Nasturtium officinale","95"
"knapweed seedhead moth","Metzneria paucipunctella","93"
"Heterobasidion root rots","Heterobasidion spp.","91"
"yellow sweet-clover","Melilotus officinalis","91"
"white pine blister rust","Cronartium ribicola","90"
"giant knotweed","Reynoutria sachalinensis","89"
"tumble mustard","Sisymbrium altissimum","89"
"blue mustard","Chorispora tenella","88"
"redstem filaree","Erodium cicutarium","88"
"pale yellow iris, yellow flag iris","Iris pseudacorus","85"
"chicory","Cichorium intybus","82"
"plumeless thistle","Carduus","82"
"Canada thistle bud weevil","Larinus planus","80"
"red clover","Trifolium pratense","80"
"weevil","Larinus spp.","80"
"leaf beetle","Chrysolina spp.","79"
"sulfur knapweed root moth","Agapeta zoegana","78"
"curly dock","Rumex crispus","77"
"Kentucky bluegrass","Poa pratensis","75"
"perennial ryegrass","Lolium perenne","75"
"prickly lettuce","Lactuca serriola","74"
"shepherd's-purse","Capsella bursa-pastoris","71"
"creeping bentgrass","Agrostis stolonifera","71"
"rush skeletonweed root moth","Bradyrrhoa gilveolella","70"
"stinging nettle","Urtica dioica","70"
"swordleaf rush","Juncus ensifolius","69"
"red sorrel","Rumex acetosella","68"
"common mallow","Malva neglecta","68"
"yellow starthistle flower weevil","Larinus curtus","66"
"flixweed","Descurainia sophia","66"
"orchardgrass","Dactylis glomerata","65"
"black medic","Medicago lupulina","64"
"tall lodgepole pine","Pinus contorta var. latifolia","64"
"dog rose","Rosa canina","63"
"parrotfeather","Myriophyllum aquaticum","63"
"knotweed species (nonnative)","Reynoutria spp.","63"
"field brome","Bromus arvensis","63"
"timothy","Phleum pratense","63"
"common teasel","Dipsacus fullonum","62"
"balsam poplar","Populus balsamifera","62"
"mullein","Verbascum spp.","61"
"bindweed gall mite","Aceria malherbae","61"
"big chickweed","Cerastium fontanum ssp. vulgare","61"
"western pine beetle","Dendroctonus brevicomis","60"
"curly dock","Rumex crispus ssp. crispus","60"
"rabbitfoot polypogon","Polypogon monspeliensis","60"
"fir engraver","Scolytus ventralis","59"
"Douglas-fir","Pseudotsuga menziesii","59"
"indigobush","Amorpha fruticosa","59"
"quackgrass","Elymus repens","57"
"wild buckwheat","Fallopia convolvulus","57"
"bald brome","Bromus racemosus","56"
"hairy vetch","Vicia villosa","56"
"moth mullein","Verbascum blattaria","56"
"pineapple-weed","Matricaria discoidea","55"
"smallseed falseflax","Camelina microcarpa","55"
"annual bluegrass","Poa annua","55"
"water speedwell","Veronica anagallis-aquatica","54"
"clasping pepperweed","Lepidium perfoliatum","54"
"green foxtail","Setaria viridis","54"
"tall fescue","Festuca arundinacea","53"
"everlasting peavine","Lathyrus latifolius","53"
"thymeleaf speedwell","Veronica serpyllifolia","53"
"multicolored Asian lady beetle","Harmonia axyridis","53"
"Canadian horseweed","Erigeron canadensis","51"
"yellow rocket","Barbarea vulgaris","51"
"spring whitlowgrass","Draba verna","51"
"medusahead","Taeniatherum caput-medusae","51"
"onion thrips","Thrips tabaci","51"
"dames rocket","Hesperis matronalis","50"
"purple loosestrife root mining weevil","Hylobius transversovittatus","50"
"gall midge","Jaapiella ivannikovi","50"
"stinking chamomile","Anthemis cotula","50"
"black-margined loosestrife beetle","Galerucella calmariensis","50"
"buckhorn plantain","Plantago lanceolata","49"
"barnyardgrass","Echinochloa crus-galli","49"
"catnip","Nepeta cataria","49"
"broadleaf plantain","Plantago major","48"
"common selfheal","Prunella vulgaris","48"
"henbit","Lamium amplexicaule","48"
"blue lettuce","Lactuca tatarica","46"
"water hemlock","Cicuta spp.","46"
"leafy spurge gall midge","Spurgia esulae","45"
"kingdevil hawkweed","Hieracium piloselloides","45"
"Russian thistle","Salsola tragus","44"
"Virginia pepperweed","Lepidium virginicum","44"
"johnsongrass","Sorghum halepense","44"
"lesser St. John's wort beetle","Chrysolina hyperici","44"
