"Common Name","Scientific Name","Number of Records"
"Japanese honeysuckle","Lonicera japonica","10,229"
"common carp","Cyprinus carpio","9,948"
"multiflora rose","Rosa multiflora","8,528"
"autumn olive","Elaeagnus umbellata","7,403"
"Japanese stiltgrass","Microstegium vimineum","3,755"
"Amur honeysuckle","Lonicera maackii","2,319"
"cutleaf teasel","Dipsacus laciniatus","2,272"
"tree-of-heaven","Ailanthus altissima","2,153"
"Eurasian watermilfoil","Myriophyllum spicatum","1,663"
"bird cherry-oat aphid","Rhopalosiphum padi","1,564"
"freshwater golden clam","Corbicula fluminea","1,543"
"Himalayan blackberry","Rubus armeniacus","1,403"
"poison hemlock","Conium maculatum","1,382"
"curly leaf pondweed","Potamogeton crispus","1,294"
"silver carp","Hypophthalmichthys molitrix","1,242"
"garlic mustard","Alliaria petiolata","1,207"
"round leaf bittersweet","Celastrus orbiculatus","1,147"
"corn earworm, tomato fruitworm","Helicoverpa zea","1,145"
"common reed","Phragmites australis","1,068"
"wild parsnip","Pastinaca sativa","1,061"
"reed canarygrass","Phalaris arundinacea","1,005"
"grass carp","Ctenopharyngodon idella","979"
"corn leaf aphid","Rhopalosiphum maidis","893"
"gall aphids","Pemphigus spp.","876"
"rice root aphid","Rhopalosiphum rufiabdominale","843"
"red clover","Trifolium pratense","819"
"common buckthorn, European buckthorn","Rhamnus cathartica","818"
"oak wilt","Bretziella fagacearum","801"
"spotted alfalfa aphid","Therioaphis trifolii","755"
"bighead carp","Hypophthalmichthys nobilis","725"
"white clover","Trifolium repens","715"
"artichoke aphid","Capitophorus elaeagni","702"
"zebra mussel","Dreissena polymorpha","680"
"creeping yellow loosestrife, creeping Jenny","Lysimachia nummularia","680"
"cowpea aphid","Aphis craccivora","659"
"goldfish","Carassius auratus","649"
"pea aphid","Acyrthosiphon pisum","636"
"soybean aphid","Aphis glycines","609"
"European privet","Ligustrum vulgare","607"
"brittleleaf naiad","Najas minor","606"
"English grain aphid","Sitobion avenae","603"
"sericea lespedeza","Lespedeza cuneata","589"
"aphid","Tetraneura spp.","576"
"winter creeper","Euonymus fortunei","575"
"greenbug","Schizaphis graminum","567"
"birdsfoot trefoil","Lotus corniculatus","552"
"turnip aphid","Lipaphis pseudobrassicae","540"
"multicolored Asian lady beetle","Harmonia axyridis","535"
"honeysuckle aphid","Hyadaphis foeniculi","528"
"aphid","Capitophorus hippophaes","512"
"black cutworm","Agrotis ipsilon","489"
"Queen Anne's lace, wild carrot","Daucus carota","475"
"poplar petiolegall aphid","Pemphigus populitransversus","450"
"buckhorn plantain","Plantago lanceolata","440"
"yellow sweet-clover","Melilotus officinalis","429"
"fall armyworm","Spodoptera frugiperda","407"
"white pine blister rust","Cronartium ribicola","400"
"elm cockscomb gall aphid","Colopha ulmicola","395"
"true armyworm","Mythimna unipuncta","376"
"Japanese chaff flower","Achyranthes japonica","369"
"purple loosestrife","Lythrum salicaria","357"
"mealy plum aphid","Hyalopterus pruni","355"
"common mullein","Verbascum thapsus","349"
"lesser celandine, fig buttercup","Ficaria verna","346"
"watercress","Nasturtium officinale","334"
"narrow-leaved cattail","Typha angustifolia","332"
"perilla mint","Perilla frutescens","324"
"dandelion","Taraxacum officinale","320"
"waterlily aphid","Rhopalosiphum nymphaeae","320"
"yellow fieldcress","Rorippa sylvestris","317"
"redtop","Agrostis gigantea","316"
"aphid","Uroleucon spp.","315"
"henbit","Lamium amplexicaule","313"
"cotton aphid","Aphis gossypii","310"
"Japanese knotweed","Reynoutria japonica","309"
"johnsongrass","Sorghum halepense","308"
"Callery pear (Bradford pear)","Pyrus calleryana","308"
"big chickweed","Cerastium fontanum ssp. vulgare","307"
"Canada thistle","Cirsium arvense","302"
"large aspen tortrix","Choristoneura conflictana","296"
"smooth brome","Bromus inermis","296"
"kudzu","Pueraria montana var. lobata","294"
"white perch","Morone americana","293"
"spotted spurge","Euphorbia maculata","291"
"common purslane","Portulaca oleracea","287"
"ladysthumb","Persicaria maculosa","286"
"chicory","Cichorium intybus","283"
"osage-orange","Maclura pomifera","281"
"round goby","Neogobius melanostomus","279"
"bull thistle","Cirsium vulgare","279"
"purple crown-vetch","Securigera varia","277"
"potato aphid","Macrosiphum euphorbiae","276"
"eastern redcedar","Juniperus virginiana","273"
"bush honeysuckles (exotic)","Lonicera spp.","272"
"common selfheal","Prunella vulgaris","271"
"orchardgrass","Dactylis glomerata","270"
"wild buckwheat","Fallopia convolvulus","264"
"white mulberry","Morus alba","259"
"Canada bluegrass","Poa compressa","258"
"black locust","Robinia pseudoacacia","257"
"aphid","Anoecia cornicola","256"
"alewife","Alosa pseudoharengus","251"
"ground ivy","Glechoma hederacea","250"
"curly dock","Rumex crispus","249"
"Kentucky bluegrass","Poa pratensis","247"
"common mouse-ear chickweed","Cerastium fontanum","246"
"apple grain aphid","Rhopalosiphum oxyacanthae","241"
"Chinese yam","Dioscorea polystachya","240"
"silver salmon or coho salmon","Oncorhynchus kisutch","239"
"perennial ryegrass","Lolium perenne","235"
"yellow woodsorrel","Oxalis stricta","235"
"rusty crayfish","Faxonius rusticus","234"
"Asiatic dayflower","Commelina communis","234"
