"Common Name","Scientific Name","Number of Records"
"multiflora rose","Rosa multiflora","8,328"
"garlic mustard","Alliaria petiolata","4,042"
"autumn olive","Elaeagnus umbellata","3,926"
"Japanese honeysuckle","Lonicera japonica","2,824"
"creeping yellow loosestrife, creeping Jenny","Lysimachia nummularia","2,740"
"Himalayan blackberry","Rubus armeniacus","2,469"
"Japanese stiltgrass","Microstegium vimineum","2,000"
"bird cherry-oat aphid","Rhopalosiphum padi","1,240"
"sericea lespedeza","Lespedeza cuneata","1,007"
"reed canarygrass","Phalaris arundinacea","945"
"gall aphids","Pemphigus spp.","814"
"Amur honeysuckle","Lonicera maackii","679"
"honeysuckle aphid","Hyadaphis foeniculi","670"
"corn leaf aphid","Rhopalosiphum maidis","649"
"aphid","Tetraneura spp.","645"
"spotted alfalfa aphid","Therioaphis trifolii","644"
"soybean aphid","Aphis glycines","604"
"rice root aphid","Rhopalosiphum rufiabdominale","603"
"artichoke aphid","Capitophorus elaeagni","592"
"cowpea aphid","Aphis craccivora","587"
"Callery pear (Bradford pear)","Pyrus calleryana","579"
"oak wilt","Bretziella fagacearum","571"
"turnip aphid","Lipaphis pseudobrassicae","571"
"white pine blister rust","Cronartium ribicola","560"
"common reed","Phragmites australis","552"
"winter creeper","Euonymus fortunei","511"
"aphid","Capitophorus hippophaes","493"
"elm cockscomb gall aphid","Colopha ulmicola","478"
"henbit","Lamium amplexicaule","473"
"pea aphid","Acyrthosiphon pisum","469"
"greenbug","Schizaphis graminum","467"
"emerald ash borer","Agrilus planipennis","446"
"purple crown-vetch","Securigera varia","442"
"large aspen tortrix","Choristoneura conflictana","430"
"tree-of-heaven","Ailanthus altissima","409"
"tar spot of corn","Phyllachora maydis","390"
"cotton aphid","Aphis gossypii","371"
"Canada thistle","Cirsium arvense","353"
"winged burning bush","Euonymus alatus","350"
"English grain aphid","Sitobion avenae","345"
"poplar petiolegall aphid","Pemphigus populitransversus","332"
"kudzu","Pueraria montana var. lobata","321"
"aphid","Uroleucon spp.","308"
"Japanese chaff flower","Achyranthes japonica","304"
"poison hemlock","Conium maculatum","295"
"Japanese knotweed","Reynoutria japonica","294"
"waterlily aphid","Rhopalosiphum nymphaeae","293"
"white clover","Trifolium repens","281"
"corn earworm, tomato fruitworm","Helicoverpa zea","277"
"red clover","Trifolium pratense","263"
"round leaf bittersweet","Celastrus orbiculatus","262"
"purple loosestrife","Lythrum salicaria","249"
"aphid","Anoecia cornicola","246"
"","","239"
"barnyardgrass","Echinochloa crus-galli","238"
"Southern corn rust","Puccinia polysora","237"
"bull thistle","Cirsium vulgare","229"
"yellow sweet-clover","Melilotus officinalis","226"
"mealy plum aphid","Hyalopterus pruni","223"
"ladysthumb","Persicaria maculosa","222"
"Eurasian watermilfoil","Myriophyllum spicatum","215"
