"Common Name","Scientific Name","Number of Records"
"garlic mustard","Alliaria petiolata","7,538"
"black cutworm","Agrotis ipsilon","1,640"
"true armyworm","Mythimna unipuncta","1,211"
"multiflora rose","Rosa multiflora","1,164"
"bird cherry-oat aphid","Rhopalosiphum padi","1,156"
"corn earworm, tomato fruitworm","Helicoverpa zea","1,101"
"bush honeysuckles (exotic)","Lonicera spp.","843"
"gall aphids","Pemphigus spp.","714"
"oak wilt","Bretziella fagacearum","674"
"corn leaf aphid","Rhopalosiphum maidis","608"
"large aspen tortrix","Choristoneura conflictana","594"
"artichoke aphid","Capitophorus elaeagni","586"
"soybean aphid","Aphis glycines","576"
"rice root aphid","Rhopalosiphum rufiabdominale","550"
"curly leaf pondweed","Potamogeton crispus","524"
"spotted alfalfa aphid","Therioaphis trifolii","482"
"cowpea aphid","Aphis craccivora","479"
"pea aphid","Acyrthosiphon pisum","464"
"English grain aphid","Sitobion avenae","463"
"greenbug","Schizaphis graminum","425"
"wild parsnip","Pastinaca sativa","422"
"Eurasian watermilfoil","Myriophyllum spicatum","407"
"aphid","Capitophorus hippophaes","363"
"turnip aphid","Lipaphis pseudobrassicae","340"
"common mullein","Verbascum thapsus","337"
"Canada thistle","Cirsium arvense","336"
"poplar petiolegall aphid","Pemphigus populitransversus","331"
"tar spot of corn","Phyllachora maydis","317"
"aphid","Tetraneura spp.","314"
"Japanese beetle","Popillia japonica","309"
"common buckthorn, European buckthorn","Rhamnus cathartica","304"
"honeysuckle aphid","Hyadaphis foeniculi","277"
"reed canarygrass","Phalaris arundinacea","271"
"mealy plum aphid","Hyalopterus pruni","252"
"aphid","Anoecia cornicola","244"
"fall armyworm","Spodoptera frugiperda","241"
"sericea lespedeza","Lespedeza cuneata","241"
"rusty plum aphid","Hysteroneura setariae","235"
"waterlily aphid","Rhopalosiphum nymphaeae","233"
"common burdock, lesser burdock","Arctium minus","225"
"motherwort","Leonurus cardiaca","221"
"potato aphid","Macrosiphum euphorbiae","206"
"barberry","Berberis spp.","206"
"apple grain aphid","Rhopalosiphum oxyacanthae","205"
"brittleleaf naiad","Najas minor","196"
"green peach aphid","Myzus persicae","186"
"aphid","Uroleucon spp.","184"
"red clover","Trifolium pratense","181"
"bull thistle","Cirsium vulgare","181"
"stinging nettle","Urtica dioica","181"
"cotton aphid","Aphis gossypii","180"
"yellow sweet-clover","Melilotus officinalis","169"
"white pine blister rust","Cronartium ribicola","159"
"emerald ash borer","Agrilus planipennis","157"
"Kentucky bluegrass","Poa pratensis","151"
"elm cockscomb gall aphid","Colopha ulmicola","151"
"spotted spurge","Euphorbia maculata","147"
"cheatgrass, downy brome","Bromus tectorum","146"
"quackgrass","Elymus repens","145"
"curly dock","Rumex crispus","143"
"erigeron root aphid","Protaphis middletonii","142"
"smooth brome","Bromus inermis","140"
"wild buckwheat","Fallopia convolvulus","140"
"Queen Anne's lace, wild carrot","Daucus carota","137"
"green foxtail","Setaria viridis","135"
"white clover","Trifolium repens","134"
"ladysthumb","Persicaria maculosa","130"
"catnip","Nepeta cataria","129"
"timothy","Phleum pratense","129"
"","","128"
"stinkgrass","Eragrostis cilianensis","126"
"dandelion","Taraxacum officinale","126"
"common purslane","Portulaca oleracea","126"
"aphid","Nearctaphis crataegifoliae","124"
"curly dock","Rumex crispus ssp. crispus","123"
"wild mustard","Sinapis arvensis","122"
"Canadian horseweed","Erigeron canadensis","120"
"pale smartweed","Polygonum lapathifolium","120"
"eastern redcedar","Juniperus virginiana","120"
"poplar leaf aphid","Chaitophorus populicola","119"
"butternut canker","Ophiognomonia clavigignenti-juglandacearum","118"
"yellow woodsorrel","Oxalis stricta","118"
"black mustard","Brassica nigra","117"
"lambsquarters","Chenopodium album","117"
"zebra mussel","Dreissena polymorpha","116"
"stinking chamomile","Anthemis cotula","115"
"prickly lettuce","Lactuca serriola","115"
"hedge mustard","Sisymbrium officinale","114"
"Canada bluegrass","Poa compressa","113"
"shepherd's-purse","Capsella bursa-pastoris","112"
"tall lettuce","Lactuca canadensis","112"
"common cocklebur","Xanthium strumarium","112"
"red sorrel","Rumex acetosella","110"
"large crabgrass","Digitaria sanguinalis","110"
"aphids","Chaitophorus spp.","109"
"clover aphid","Nearctaphis bakeri","109"
"woolly aphid","Forda marginata","109"
"American burnweed","Erechtites hieraciifolius","108"
"velvetleaf","Abutilon theophrasti","108"
"wild four-o'clock","Mirabilis nyctaginea","105"
"broadleaf plantain","Plantago major","105"
"dogwood aphid","Anoecia corni","105"
"field bindweed","Convolvulus arvensis","104"
"bouncingbet","Saponaria officinalis","103"
"poison hemlock","Conium maculatum","103"
"western salsify","Tragopogon dubius","102"
"hemp/marijuana (sativa)","Cannabis sativa","102"
"common pine shoot beetle, larger pine shoot beetle","Tomicus piniperda","99"
"common selfheal","Prunella vulgaris","99"
"wooly aphid","Eriosoma spp.","98"
"field brome","Bromus arvensis","98"
"black locust","Robinia pseudoacacia","98"
"Virginia groundcherry","Physalis virginiana var. virginiana","98"
"Virginia pepperweed","Lepidium virginicum","97"
"buckthorn aphid","Aphis nasturtii","97"
"aphid","Pemphigus monophagus","96"
"spirea aphid","Aphis spiraecola","95"
"barnyardgrass","Echinochloa crus-galli","93"
"yellow nutsedge","Cyperus esculentus","93"
"dotted smartweed","Persicaria punctata","92"
"Southern corn rust","Puccinia polysora","91"
"chicory","Cichorium intybus","91"
"white mulberry","Morus alba","90"
"ground ivy","Glechoma hederacea","90"
"oxeye daisy","Leucanthemum vulgare","90"
"yellow foxtail","Setaria pumila","89"
"longspine sandbur","Cenchrus longispinus","89"
"buckhorn plantain","Plantago lanceolata","89"
"birdsfoot trefoil","Lotus corniculatus","88"
"black medic","Medicago lupulina","87"
"Russian thistle","Salsola tragus","87"
"bur oak blight","Tubakia iowensis","87"
"giant foxtail","Setaria faberi","87"
