"Common Name","Scientific Name","Number of Records"
"corn earworm, tomato fruitworm","Helicoverpa zea","1,081"
"johnsongrass","Sorghum halepense","830"
"Callery pear (Bradford pear)","Pyrus calleryana","610"
"Kentucky coffeetree","Gymnocladus dioicus","443"
"common mullein","Verbascum thapsus","404"
"saltcedar","Tamarix ramosissima","376"
"Amur honeysuckle","Lonicera maackii","332"
"tree-of-heaven","Ailanthus altissima","329"
"field bindweed","Convolvulus arvensis","301"
"henbit","Lamium amplexicaule","289"
"sugarcane aphid","Melanaphis sacchari","284"
"eastern redcedar","Juniperus virginiana","251"
"sericea lespedeza","Lespedeza cuneata","249"
"Siberian elm","Ulmus pumila","243"
"yellow sweet-clover","Melilotus officinalis","235"
"wild buckwheat","Fallopia convolvulus","234"
"musk thistle, nodding thistle","Carduus nutans","231"
"salsola","Salsola spp.","224"
"curly dock","Rumex crispus","223"
"white clover","Trifolium repens","222"
"dandelion","Taraxacum officinale","220"
"western salsify","Tragopogon dubius","220"
"smooth brome","Bromus inermis","218"
"green foxtail","Setaria viridis","218"
"prickly lettuce","Lactuca serriola","214"
"field brome","Bromus arvensis","213"
"cheatgrass, downy brome","Bromus tectorum","213"
"puncturevine","Tribulus terrestris","212"
"bird cherry-oat aphid","Rhopalosiphum padi","212"
"Canadian horseweed","Erigeron canadensis","211"
"stinkgrass","Eragrostis cilianensis","210"
"curly dock","Rumex crispus ssp. crispus","210"
"wild four-o'clock","Mirabilis nyctaginea","209"
"longspine sandbur","Cenchrus longispinus","207"
"jointed goatgrass","Aegilops cylindrica","204"
"white mulberry","Morus alba","203"
"pale smartweed","Polygonum lapathifolium","201"
"rice root aphid","Rhopalosiphum rufiabdominale","200"
"black medic","Medicago lupulina","200"
"common cocklebur","Xanthium strumarium","193"
"shepherd's-purse","Capsella bursa-pastoris","193"
"Mexican fireweed","Bassia scoparia","191"
"spotted spurge","Euphorbia maculata","185"
"osage-orange","Maclura pomifera","184"
"poison hemlock","Conium maculatum","183"
"Kentucky bluegrass","Poa pratensis","179"
"large crabgrass","Digitaria sanguinalis","179"
"smallseed falseflax","Camelina microcarpa","178"
"field pennycress","Thlaspi arvense","175"
"common purslane","Portulaca oleracea","167"
"meadow fescue","Festuca pratensis","167"
"spiny sowthistle","Sonchus asper","166"
"spotted alfalfa aphid","Therioaphis trifolii","162"
"prairie sunflower","Helianthus petiolaris","161"
"corn speedwell","Veronica arvensis","160"
"Southern corn rust","Puccinia polysora","160"
"purple crown-vetch","Securigera varia","158"
"red clover","Trifolium pratense","156"
"black locust","Robinia pseudoacacia","156"
"catnip","Nepeta cataria","156"
"bull thistle","Cirsium vulgare","155"
"barnyardgrass","Echinochloa crus-galli","155"
"perennial ryegrass","Lolium perenne","152"
"bermudagrass","Cynodon dactylon","152"
"cutleaf evening-primrose","Oenothera laciniata","151"
"eclipta","Eclipta prostrata","150"
"Venice mallow","Hibiscus trionum","149"
"flixweed","Descurainia sophia","147"
"giantseed goosefoot","Chenopodium simplex","146"
"dotted smartweed","Persicaria punctata","144"
"yellow woodsorrel","Oxalis stricta","143"
"gall aphids","Pemphigus spp.","142"
"goosegrass","Eleusine indica","141"
"thymeleaf sandwort","Arenaria serpyllifolia","139"
"watercress","Nasturtium officinale","139"
"hemp/marijuana (sativa)","Cannabis sativa","136"
"jimsonweed","Datura stramonium","136"
"orchardgrass","Dactylis glomerata","133"
"stinging nettle","Urtica dioica","131"
"garlic mustard","Alliaria petiolata","131"
"Russian olive","Elaeagnus angustifolia","129"
"corn leaf aphid","Rhopalosiphum maidis","129"
"common mallow","Malva neglecta","127"
"Russian thistle","Salsola tragus","126"
"northern catalpa","Catalpa speciosa","124"
"rye brome","Bromus secalinus","122"
"yellow nutsedge","Cyperus esculentus","122"
"common duckweed","Lemna minor","122"
"ladysthumb","Persicaria maculosa","121"
"multiflora rose","Rosa multiflora","121"
"velvetleaf","Abutilon theophrasti","120"
"southern crabgrass","Digitaria ciliaris","118"
"buckhorn plantain","Plantago lanceolata","117"
"timothy","Phleum pratense","117"
"wavyleaf thistle","Cirsium undulatum","115"
"giant foxtail","Setaria faberi","113"
"hairy vetch","Vicia villosa","113"
"giant ragweed","Ambrosia trifida","109"
"common yarrow","Achillea millefolium","109"
"alfalfa","Medicago sativa","109"
"English grain aphid","Sitobion avenae","107"
"white horehound","Marrubium vulgare","107"
"Virginia pepperweed","Lepidium virginicum","106"
"narrow-leaved cattail","Typha angustifolia","106"
"common St. Johnswort","Hypericum perforatum","105"
"bristlegrass","Setaria spp.","105"
"common dandelion","Taraxacum officinale ssp. officinale","105"
"green bristlegrass","Setaria viridis var. viridis","105"
"Dutch elm disease (novi-ulmi)","Ophiostoma novo-ulmi","105"
"spreading hedgeparsley","Torilis arvensis","105"
"pale dock","Rumex altissimus","105"
"longleaf groundcherry","Physalis longifolia","105"
"prostrate pigweed","Amaranthus blitoides","105"
"creeping bentgrass","Agrostis stolonifera","104"
"toothed spurge","Euphorbia dentata","104"
"redroot pigweed","Amaranthus retroflexus","103"
"moth mullein","Verbascum blattaria","103"
"tall morning-glory","Ipomoea purpurea","102"
"pig (feral), wild boar at large","Sus scrofa (feral type)","101"
"rock dandelion","Taraxacum erythrospermum","101"
"hemp dogbane","Apocynum cannabinum","98"
"narrowleaf dock","Rumex stenophyllus","98"
"poplar petiolegall aphid","Pemphigus populitransversus","98"
"lambsquarters","Chenopodium album","98"
"bouncingbet","Saponaria officinalis","98"
"slender snakecotton","Froelichia gracilis","97"
"Queen Anne's lace, wild carrot","Daucus carota","96"
"tall lettuce","Lactuca canadensis","96"
"corn gromwell","Buglossoides arvensis","96"
"common chickweed","Stellaria media","95"
"West Indian nightshade","Solanum ptychanthum","95"
"dames rocket","Hesperis matronalis","94"
"bushy wallflower","Erysimum repandum","94"
"indigobush","Amorpha fruticosa","94"
"common selfheal","Prunella vulgaris","94"
"tall fescue","Festuca arundinacea","94"
"knotroot foxtail","Setaria parviflora","94"
"oxeye daisy","Leucanthemum vulgare","93"
"common pokeweed","Phytolacca americana","91"
"yellow bluestem","Bothriochloa ischaemum","91"
"water knotweed","Polygonum amphibium","90"
"big chickweed","Cerastium fontanum ssp. vulgare","90"
"yellow foxtail","Setaria pumila","89"
"wild licorice","Glycyrrhiza lepidota","88"
"common burdock, lesser burdock","Arctium minus","87"
"tumble mustard","Sisymbrium altissimum","86"
"fall panicum","Panicum dichotomiflorum","86"
"aphid","Tetraneura spp.","86"
"hedge bindweed","Calystegia sepium","85"
"blue mustard","Chorispora tenella","85"
"mexicantea","Dysphania ambrosioides","84"
"common chickweed","Stellaria pallida","83"
"yellow rocket","Barbarea vulgaris","83"
"eastern poison-ivy","Toxicodendron radicans","81"
"common teasel","Dipsacus fullonum","80"
"greenbug","Schizaphis graminum","80"
"spanishneedles","Bidens bipinnata","80"
"chicory","Cichorium intybus","79"
"pea aphid","Acyrthosiphon pisum","79"
"wild mustard","Sinapis arvensis","79"
"asparagus","Asparagus officinalis","79"
"Canada bluegrass","Poa compressa","77"
"hoary cress","Lepidium draba","77"
"annual bluegrass","Poa annua","77"
"Canada thistle","Cirsium arvense","77"
