"Common Name","Scientific Name","Number of Records"
"Japanese honeysuckle","Lonicera japonica","9,177"
"rose","Rosa spp.","5,072"
"Japanese stiltgrass","Microstegium vimineum","3,711"
"multiflora rose","Rosa multiflora","2,120"
"tall fescue","Festuca arundinacea","2,042"
"bush honeysuckles (exotic)","Lonicera spp.","1,951"
"sericea lespedeza","Lespedeza cuneata","1,315"
"tree-of-heaven","Ailanthus altissima","1,136"
"Heterobasidion root rots","Heterobasidion spp.","1,093"
"autumn olive","Elaeagnus umbellata","1,006"
"oxeye daisy","Leucanthemum vulgare","955"
"Queen Anne's lace, wild carrot","Daucus carota","913"
"garlic mustard","Alliaria petiolata","695"
"purple crown-vetch","Securigera varia","646"
"oak wilt","Bretziella fagacearum","618"
"Callery pear (Bradford pear)","Pyrus calleryana","548"
"southern pine beetle","Dendroctonus frontalis","511"
"yellow sweet-clover","Melilotus officinalis","496"
"dandelion","Taraxacum officinale","398"
"winter creeper","Euonymus fortunei","380"
"henbit","Lamium amplexicaule","353"
"privet","Ligustrum spp.","345"
"Oriental lady's thumb","Polygonum posumbu","333"
"princesstree","Paulownia tomentosa","322"
"round leaf bittersweet","Celastrus orbiculatus","321"
"white clover","Trifolium repens","320"
"corn earworm, tomato fruitworm","Helicoverpa zea","320"
"pig (feral), wild boar at large","Sus scrofa (feral type)","310"
"purple deadnettle","Lamium purpureum","293"
"mimosa","Albizia julibrissin","287"
"red clover","Trifolium pratense","287"
"winged burning bush","Euonymus alatus","285"
"kudzu","Pueraria montana var. lobata","283"
"buckhorn plantain","Plantago lanceolata","262"
"fall armyworm","Spodoptera frugiperda","250"
"Chinese yam","Dioscorea polystachya","245"
"coltsfoot","Tussilago farfara","239"
"butternut canker","Ophiognomonia clavigignenti-juglandacearum","238"
"Chinese silvergrass","Miscanthus sinensis","235"
"emerald ash borer","Agrilus planipennis","235"
"curly dock","Rumex crispus","229"
"eastern redcedar","Juniperus virginiana","228"
"Japanese beetle","Popillia japonica","209"
"shrubby lespedeza","Lespedeza bicolor","206"
"common pokeweed","Phytolacca americana","196"
"ground ivy","Glechoma hederacea","195"
"Amur honeysuckle","Lonicera maackii","189"
"common selfheal","Prunella vulgaris","188"
"miniature beefsteakplant","Mosla dianthera","183"
"bird cherry-oat aphid","Rhopalosiphum padi","182"
"gall aphids","Pemphigus spp.","175"
"spotted-wing drosophila","Drosophila suzukii","175"
"Korean lespedeza","Kummerowia stipulacea","174"
"Japanese knotweed","Reynoutria japonica","172"
"Japanese clover","Kummerowia striata","170"
"perilla mint","Perilla frutescens","165"
"tawny daylily","Hemerocallis fulva","164"
"multicolored Asian lady beetle","Harmonia axyridis","162"
"common chickweed","Stellaria media","160"
"white pine blister rust","Cronartium ribicola","157"
"black locust","Robinia pseudoacacia","156"
"johnsongrass","Sorghum halepense","150"
"hairy vetch","Vicia villosa","147"
"wild garlic","Allium vineale","146"
"yellow rocket","Barbarea vulgaris","140"
"Southern corn rust","Puccinia polysora","138"
"broomsedge bluestem","Andropogon virginicus","138"
"black medic","Medicago lupulina","137"
"common mullein","Verbascum thapsus","137"
"hemlock woolly adelgid","Adelges tsugae","135"
"large hop clover","Trifolium campestre","135"
"Asiatic dayflower","Commelina communis","134"
"aphid","Tetraneura spp.","132"
"Elaeagnus","Elaeagnus spp.","131"
"perennial ryegrass","Lolium perenne","129"
"dogwood anthracnose","Discula destructiva","128"
"cowpea aphid","Aphis craccivora","127"
"Deptford pink","Dianthus armeria","127"
"dotted smartweed","Persicaria punctata","125"
"giant foxtail","Setaria faberi","125"
"Kentucky bluegrass","Poa pratensis","124"
"cucurbit downy mildew","Pseudoperonospora cubensis","124"
"common chickweed","Stellaria pallida","116"
"ladysthumb","Persicaria maculosa","116"
"yellow woodsorrel","Oxalis stricta","116"
"big chickweed","Cerastium fontanum ssp. vulgare","115"
"spring whitlowgrass","Draba verna","115"
"orchardgrass","Dactylis glomerata","114"
"common cocklebur","Xanthium strumarium","113"
"large crabgrass","Digitaria sanguinalis","113"
"tall lettuce","Lactuca canadensis","112"
"redtop","Agrostis gigantea","112"
"timothy","Phleum pratense","109"
"yellow nutsedge","Cyperus esculentus","108"
"shepherd's-purse","Capsella bursa-pastoris","106"
"waterpurslane","Ludwigia palustris","106"
"spotted alfalfa aphid","Therioaphis trifolii","106"
"Oriental lady's thumb","Persicaria longiseta","106"
