"Common Name","Scientific Name","Number of Records"
"Japanese honeysuckle","Lonicera japonica","4,431"
"Chinese tallowtree","Triadica sebifera","4,343"
"Japanese climbing fern","Lygodium japonicum","4,234"
"privet","Ligustrum spp.","2,573"
"Chinese privet","Ligustrum sinense","1,119"
"corn earworm, tomato fruitworm","Helicoverpa zea","972"
"red-eared slider","Trachemys scripta elegans","646"
"pig (feral), wild boar at large","Sus scrofa (feral type)","613"
"white clover","Trifolium repens","603"
"Heterobasidion root rots","Heterobasidion spp.","579"
"common water hyacinth","Eichhornia crassipes","513"
"multicolored Asian lady beetle","Harmonia axyridis","502"
"brown anole","Anolis sagrei","484"
"alligatorweed","Alternanthera philoxeroides","363"
"southern pine beetle","Dendroctonus frontalis","354"
"mimosa","Albizia julibrissin","345"
"false strawberry","Potentilla indica","344"
"Japanese privet","Ligustrum japonicum","327"
"Mediterranean gecko","Hemidactylus turcicus","325"
"chinaberry","Melia azedarach","323"
"sericea lespedeza","Lespedeza cuneata","317"
"johnsongrass","Sorghum halepense","292"
"fire ants","Solenopsis spp.","292"
"vaseygrass","Paspalum urvillei","285"
"chamber bitter","Phyllanthus urinaria","272"
"kudzu","Pueraria montana var. lobata","270"
"Mexican rice borer","Eoreuma loftini","264"
"spotted spurge","Euphorbia maculata","230"
"sugarcane aphid","Melanaphis sacchari","220"
"tall fescue","Festuca arundinacea","214"
"Brazilian vervain","Verbena incompta","186"
"henbit","Lamium amplexicaule","184"
"Macartney rose","Rosa bracteata","163"
"water fern","Salvinia minima","162"
"common purslane","Portulaca oleracea","159"
"parrotfeather","Myriophyllum aquaticum","157"
"coco yam, wild taro","Colocasia esculenta","147"
"coral ardisia","Ardisia crenata","140"
"dotted duckmeat","Landoltia punctata","140"
"dallisgrass","Paspalum dilatatum","139"
"trifoliate orange","Citrus trifoliata","138"
"red clover","Trifolium pratense","136"
"bermudagrass","Cynodon dactylon","132"
"spiny sowthistle","Sonchus asper","131"
"annual bluegrass","Poa annua","130"
"junglerice","Echinochloa colona","129"
"eclipta","Eclipta prostrata","129"
"Virginia pepperweed","Lepidium virginicum","129"
"goosegrass","Eleusine indica","128"
"rescuegrass","Bromus catharticus","128"
"cutleaf evening-primrose","Oenothera laciniata","128"
"sacred bamboo","Nandina domestica","128"
"smutgrass","Sporobolus indicus","127"
"Canadian horseweed","Erigeron canadensis","127"
"itchgrass","Rottboellia cochinchinensis","127"
"curly dock","Rumex crispus","126"
"perennial ryegrass","Lolium perenne","126"
"southern crabgrass","Digitaria ciliaris","126"
"dotted smartweed","Persicaria punctata","126"
"purple nutsedge","Cyperus rotundus","126"
"rice flatsedge","Cyperus iria","125"
"eastern redcedar","Juniperus virginiana","125"
"bahiagrass","Paspalum notatum","125"
"whorled pennywort","Hydrocotyle verticillata","124"
"common chickweed","Stellaria pallida","124"
"yellow foxtail","Setaria pumila","124"
"corn speedwell","Veronica arvensis","123"
"common cocklebur","Xanthium strumarium","122"
"California burclover","Medicago polymorpha","122"
"curly dock","Rumex crispus ssp. crispus","122"
"annual yellow sweetclover","Melilotus indicus","121"
"knotroot foxtail","Setaria parviflora","120"
"sicklepod","Senna obtusifolia","120"
"common vetch","Vicia sativa","119"
"mexicantea","Dysphania ambrosioides","118"
"black medic","Medicago lupulina","117"
"barnyardgrass","Echinochloa crus-galli","116"
"small hop clover","Trifolium dubium","116"
"hydrilla","Hydrilla verticillata","115"
"carpetgrass","Axonopus fissifolius","114"
"smallflower morningglory","Jacquemontia tamnifolia","113"
"American burnweed","Erechtites hieraciifolius","113"
"tievine","Ipomoea cordatotriloba var. cordatotriloba","112"
"purple cudweed","Gamochaeta purpurea","112"
"yellow woodsorrel","Oxalis stricta","112"
"pitted morning-glory","Ipomoea lacunosa","111"
"broomsedge bluestem","Andropogon virginicus","111"
"spiny amaranth","Amaranthus spinosus","111"
"slender amaranth","Amaranthus viridis","110"
"melon","Cucumis melo","110"
"waterpurslane","Ludwigia palustris","110"
"Uruguayan vervain","Verbena montevidensis","109"
"annual sowthistle","Sonchus oleraceus","108"
"highbush blackberry","Rubus argutus","107"
"common selfheal","Prunella vulgaris","106"
"yellow bluestem","Bothriochloa ischaemum","106"
"yellow nutsedge","Cyperus esculentus","106"
"balloonvine","Cardiospermum halicacabum","105"
"dandelion","Taraxacum officinale","105"
"southern catalpa","Catalpa bignonioides","105"
"Southern corn rust","Puccinia polysora","105"
"common chickweed","Stellaria media","104"
"Japanese clover","Kummerowia striata","103"
"hairy fleabane","Conyza bonariensis","102"
"lesser swinecress","Coronopus didymus","101"
"largeleaf lantana","Lantana camara","101"
"black locust","Robinia pseudoacacia","101"
"yellow sweet-clover","Melilotus officinalis","100"
"tall lettuce","Lactuca canadensis","100"
"water lettuce","Pistia stratiotes","99"
"perilla mint","Perilla frutescens","99"
"stinking chamomile","Anthemis cotula","99"
"Asiatic hawksbeard","Youngia japonica","98"
"anglestem beaksedge","Rhynchospora caduca","98"
"St. Augustinegrass","Stenotaphrum secundatum","98"
"eastern poison-ivy","Toxicodendron radicans","97"
"cutleaf geranium","Geranium dissectum","96"
"hairy vetch","Vicia villosa","96"
"white mulberry","Morus alba","94"
"large hop clover","Trifolium campestre","93"
"shepherd's-purse","Capsella bursa-pastoris","92"
"giant reed","Arundo donax","90"
"field brome","Bromus arvensis","90"
"crowfootgrass","Dactyloctenium aegyptium","89"
"rice root aphid","Rhopalosiphum rufiabdominale","89"
"crapemyrtle","Lagerstroemia indica","88"
"Brazilian waterweed, Brazilian elodea","Egeria densa","88"
"paper-mulberry","Broussonetia papyrifera","86"
"tarweed cuphea","Cuphea carthagenensis","86"
"field madder","Sherardia arvensis","86"
"bush honeysuckles (exotic)","Lonicera spp.","85"
"shovel-headed garden worm","Bipalium kewense","85"
"osage-orange","Maclura pomifera","85"
"fall armyworm","Spodoptera frugiperda","84"
"common mullein","Verbascum thapsus","82"
"sorghum (type unspecified)","Sorghum bicolor","82"
"wild buckwheat","Fallopia convolvulus","81"
"common pokeweed","Phytolacca americana","81"
"cressleaf groundsel","Packera glabella","81"
"giant ragweed","Ambrosia trifida","81"
"Honduras pine","Pinus elliottii var. elliottii","80"
"aphid","Tetraneura spp.","79"
"cogongrass","Imperata cylindrica","78"
"lambsquarters","Chenopodium album","77"
"multiflora rose","Rosa multiflora","77"
"pale smartweed","Polygonum lapathifolium","76"
"coffee senna","Senna occidentalis","76"
"red sesbania","Sesbania punicea","76"
"sensitive partridgepea","Chamaecrista nictitans","76"
"sticky chickweed","Cerastium glomeratum","76"
"jimsonweed","Datura stramonium","75"
"torpedograss","Panicum repens","75"
"Chinese wisteria","Wisteria sinensis","75"
"Florida betony","Stachys floridana","74"
"violet crabgrass","Digitaria violascens","74"
"haspan flatsedge","Cyperus haspan","74"
"green kyllinga","Kyllinga brevifolia","74"
"tungoil tree","Vernicia fordii","73"
"common pear","Pyrus communis","72"
"pecan nut casebearer","Acrobasis nuxvorella","71"
"common four-o'clock","Mirabilis jalapa","70"
"bald brome","Bromus racemosus","70"
"nutria","Myocastor coypus","70"
"Eurasian watermilfoil","Myriophyllum spicatum","69"
"Long's sedge","Carex longii","68"
"sweet autumn virginsbower","Clematis terniflora","68"
"cotton aphid","Aphis gossypii","68"
"bigpod sesbania","Sesbania herbacea","68"
"common ragweed","Ambrosia artemisiifolia","68"
"edible fig","Ficus carica","68"
"Asiatic dayflower","Commelina communis","66"
"buckhorn plantain","Plantago lanceolata","65"
"fire ant decapitating fly","Pseudacteon curvatus","65"
"purple deadnettle","Lamium purpureum","65"
"big periwinkle","Vinca major","64"
"bristlegrass","Setaria spp.","64"
"scarlet firethorn","Pyracantha coccinea","64"
"pink woodsorrel","Oxalis debilis var. corymbosa","64"
"Callery pear (Bradford pear)","Pyrus calleryana","64"
"wisterias","Wisteria spp.","64"
"American bullfrog","Lithobates catesbeianus","64"
"Indian mustard","Brassica juncea","63"
"erigeron root aphid","Protaphis middletonii","63"
"fire ant decapitating fly","Pseudacteon tricuspis","63"
"broadleaf plantain","Plantago major","63"
"cutleaf groundcherry","Physalis angulata","63"
"spreading hedgeparsley","Torilis arvensis","63"
"hemp sesbania","Sesbania exaltata","62"
"cattail grass","Setaria pumila ssp. pallidefusca","62"
"horsenettle","Solanum carolinense","61"
"red morning-glory","Ipomoea coccinea","60"
"ragweed parthenium","Parthenium hysterophorus","60"
"scarlet pimpernel","Anagallis arvensis","59"
"Queen Anne's lace, wild carrot","Daucus carota","59"
"wild onion","Allium canadense","59"
"velvetleaf","Abutilon theophrasti","59"
"fall panicum","Panicum dichotomiflorum","59"
"shrubby lespedeza","Lespedeza bicolor","58"
"birdsrape mustard","Brassica rapa","58"
"garden vetch","Vicia sativa ssp. nigra","58"
"camphortree","Cinnamomum camphora","58"
"West Indian nightshade","Solanum ptychanthum","58"
"wild garlic","Allium vineale","57"
"rabbitfoot polypogon","Polypogon monspeliensis","57"
"prickly lettuce","Lactuca serriola","56"
"stinkgrass","Eragrostis cilianensis","56"
"sharppod morning-glory","Ipomoea cordatotriloba","56"
"Jerusalem-cherry","Solanum pseudocapsicum","55"
"longfruited primrose-willow","Ludwigia octovalvis","55"
"nimblewill","Muhlenbergia schreberi","55"
"ivyleaf morning-glory","Ipomoea hederacea","54"
"creeping waterprimrose","Ludwigia peploides","54"
"glossy privet","Ligustrum lucidum","54"
"lawn burweed","Soliva sessilis","54"
"tall vervain","Verbena bonariensis","52"
"European common reed, Phragmites","Phragmites australis ssp. australis","52"
"swordfern","Macrothelypteris torresiana","52"
"English ivy","Hedera helix","52"
"sour paspalum","Paspalum conjugatum","52"
"denseflower knotweed","Persicaria glabra","51"
"giant foxtail","Setaria faberi","51"
"spanishneedles","Bidens bipinnata","51"
"common dandelion","Taraxacum officinale ssp. officinale","51"
"rattail fescue","Vulpia myuros","51"
"ladysthumb","Persicaria maculosa","50"
"Kentucky bluegrass","Poa pratensis","50"
"rose of Sharon","Hibiscus syriacus","50"
"air-potato","Dioscorea bulbifera","49"
"indigobush","Amorpha fruticosa","49"
"prostrate knotweed","Polygonum aviculare","49"
"cowpea aphid","Aphis craccivora","49"
"weeping willow","Salix x sepulcralis","48"
"Kummerowia","Kummerowia","48"
"golden bamboo","Phyllostachys aurea","48"
"tawny daylily","Hemerocallis fulva","48"
"aphid","Aphis coreopsidis","47"
"tall morning-glory","Ipomoea purpurea","47"
"pale yellow iris, yellow flag iris","Iris pseudacorus","46"
"wild mustard","Sinapis arvensis","46"
"southern sandbur","Cenchrus echinatus","46"
"American frogbit","Limnobium spongia","45"
"smooth crabgrass","Digitaria ischaemum","45"
"castorbean","Ricinus communis","44"
"fragrant waterlily","Nymphaea odorata","44"
"hairy beggarticks","Bidens pilosa","44"
"showy rattlebox","Crotalaria spectabilis","44"
"field bindweed","Convolvulus arvensis","44"
"common wheat","Triticum aestivum","44"
"bigroot morning-glory","Ipomoea pandurata","44"
"spotted waterhemlock","Cicuta maculata","43"
"forest tent caterpillar","Malacosoma disstria","43"
"giant salvinia","Salvinia molesta","42"
"paradise apple","Malus pumila","42"
"Carolina fanwort, fanwort","Cabomba caroliniana","42"
"carpet bugle","Ajuga reptans","42"
"field sandbur","Cenchrus spinifex","41"
"red imported fire ant","Solenopsis invicta","41"
"orchardgrass","Dactylis glomerata","41"
"bouncingbet","Saponaria officinalis","40"
"white poplar","Populus alba","40"
"fusiform rust","Cronartium quercuum f.sp. fusiforme","40"
"european starling","Sturnus vulgaris","40"
"gall aphids","Pemphigus spp.","40"
"bristly locust","Robinia hispida","40"
"grassy arrowhead","Sagittaria graminea","40"
"lilac chastetree","Vitex agnus-castus","40"
"cornflower","Centaurea cyanus","39"
"cucurbit downy mildew","Pseudoperonospora cubensis","39"
"goldenrain tree","Koelreuteria paniculata","38"
"hedge mustard","Sisymbrium officinale","38"
"ground ivy","Glechoma hederacea","38"
"silverleaf nightshade","Solanum elaeagnifolium","38"
"silver hairgrass","Aira caryophyllea","38"
"tree-of-heaven","Ailanthus altissima","38"
"Asian tiger mosquito","Aedes albopictus","37"
"thymeleaf sandwort","Arenaria serpyllifolia","37"
"bird cherry-oat aphid","Rhopalosiphum padi","37"
"bushkiller","Cayratia japonica","37"
"peach","Prunus persica","36"
"small carpetgrass, joint-head grass","Arthraxon hispidus","36"
"saltcedar","Tamarix ramosissima","36"
"wild radish","Raphanus raphanistrum","36"
"microsporidia protozoa","Kneallhazia solenopsae","35"
"sawtooth oak","Quercus acutissima","35"
"soybean rust","Phakopsora pachyrhizi","34"
"wild oat","Avena fatua","34"
"hemp dogbane","Apocynum cannabinum","34"
"smooth cat's ear","Hypochaeris glabra","34"
"periwinkle","Vinca","34"
"hairy cat's ear","Hypochaeris radicata","34"
"oleander","Nerium oleander","34"
"kudzu bug","Megacopta cribraria","33"
"rusty plum aphid","Hysteroneura setariae","33"
"copper iris","Iris fulva","33"
"common yarrow","Achillea millefolium","32"
"black mustard","Brassica nigra","32"
"English catchfly","Silene gallica","32"
"spotted alfalfa aphid","Therioaphis trifolii","32"
"cypressvine morning-glory","Ipomoea quamoclit","32"
"Asian woolly hackberry aphid","Shivaphis celti","31"
"bagpod","Sesbania vesicaria","31"
"duck-lettuce","Ottelia alismoides","30"
"crapemyrtle bark scale","Acanthococcus lagerstroemiae","30"
"mulberryweed","Fatoua villosa","30"
"spreading hedgeparsley","Torilis arvensis ssp. arvensis","30"
"corn gromwell","Buglossoides arvensis","30"
"tuberous vervain","Verbena rigida","30"
"twoleaf watermilfoil","Myriophyllum heterophyllum","30"
"water hyacinth","Eichhornia spp.","30"
"saltmeadow cordgrass","Spartina patens","30"
"rose","Rosa spp.","30"
"rose glorybower","Clerodendrum bungei","30"
"weeping lovegrass","Eragrostis curvula","29"
"musk thistle, nodding thistle","Carduus nutans","29"
"princesstree","Paulownia tomentosa","29"
"redroot pigweed","Amaranthus retroflexus","29"
"Uruguayan pampas grass","Cortaderia selloana","29"
"burcucumber","Sicyos angulatus","29"
"camphor scale","Pseudaonidia duplex","29"
"crimson clover","Trifolium incarnatum","29"
"Oriental lady's thumb","Persicaria longiseta","28"
"toothed spurge","Euphorbia dentata","28"
"Chinese parasoltree","Firmiana simplex","28"
"palmleaf morning-glory","Ipomoea wrightii","27"
"northern catalpa","Catalpa speciosa","27"
"moth mullein","Verbascum blattaria","27"
"threelobe false mallow","Malvastrum coromandelianum","27"
"Cherokee rose","Rosa laevigata","27"
"summer snowflake","Leucojum aestivum","27"
"rabbitfoot clover","Trifolium arvense","27"
"Japanese wisteria","Wisteria floribunda","26"
"star-of-Bethlehem","Ornithogalum umbellatum","26"
"oxeye daisy","Leucanthemum vulgare","26"
"Thunberg's meadowsweet","Spiraea thunbergii","26"
"slender snakecotton","Froelichia gracilis","26"
"Chinese fir","Cunninghamia lanceolata","26"
"loquat","Eriobotrya japonica","26"
"Indian shot","Canna indica","26"
"field pennycress","Thlaspi arvense","26"
"large crabgrass","Digitaria sanguinalis","25"
"hedge bindweed","Calystegia sepium","25"
"garden spurge","Chamaesyce hirta","25"
"large-flower primrose-willow","Ludwigia grandiflora","25"
"rice","Oryza sativa","25"
"Oriental lady's thumb","Polygonum posumbu","25"
"tawny crazy ant","Nylanderia fulva","25"
"green foxtail","Setaria viridis","24"
"cheatgrass, downy brome","Bromus tectorum","24"
"stripe rust","Puccinia striiformis f.sp. tritici","24"
"pale dock","Rumex altissimus","24"
"sulfur cinquefoil","Potentilla recta","24"
"pomegranate","Punica granatum","24"
"big chickweed","Cerastium fontanum ssp. vulgare","24"
"Britton's wild petunia","Ruellia simplex","24"
"sweet breath of spring","Lonicera fragrantissima","23"
"field dodder","Cuscuta pentagona","23"
"sparrow vetch","Vicia tetrasperma","23"
"fiveangled dodder","Cuscuta pentagona var. pentagona","23"
"French tamarisk","Tamarix gallica","23"
"asparagus","Asparagus officinalis","23"
"aphid","Schizaphis minuta","23"
"porcelain-berry","Ampelopsis glandulosa var. brevipedunculata","22"
"morning-glory","Ipomoea x leucantha","22"
"emerald ash borer","Agrilus planipennis","22"
"laurel wilt","Raffaelea lauricola","22"
"downy maiden fern","Cyclosorus dentatus","22"
"heartleaf drymary","Drymaria cordata","22"
"pea aphid","Acyrthosiphon pisum","22"
"smooth cordgrass","Spartina alterniflora","22"
"turk's turbin","Clerodendrum indicum","22"
"thorny olive","Elaeagnus pungens","22"
"lionsear","Leonotis nepetifolia","21"
"purple loosestrife","Lythrum salicaria","21"
"common velvetgrass","Holcus lanatus","20"
"largeseed dodder","Cuscuta indecora","20"
"","","20"
"bridalwreath spiraea","Spiraea prunifolia","20"
"watercress","Nasturtium officinale","20"
"rye brome","Bromus secalinus","20"
"brittleleaf naiad","Najas minor","20"
"English grain aphid","Sitobion avenae","20"
"daffodil","Narcissus pseudonarcissus","20"
"sessile joyweed","Alternanthera sessilis","20"
"spirea aphid","Aphis spiraecola","19"
"radish","Raphanus sativus","19"
"waxy mannagrass","Glyceria declinata","19"
"Chinese elm","Ulmus parvifolia","18"
"air potato leaf beetle","Lilioceris cheni","18"
"tamarisk","Tamarix spp.","18"
"doubtful knight's-spur","Consolida ajacis","18"
"alfalfa","Medicago sativa ssp. sativa","18"
"alfalfa","Medicago sativa","18"
"artilleryweed","Pilea microphylla","18"
"hemp/marijuana (sativa)","Cannabis sativa","18"
"alsike clover","Trifolium hybridum","18"
"starch grape hyacinth","Muscari neglectum","18"
"greenbug","Schizaphis graminum","18"
"weeping willow","Salix babylonica","17"
"hairy bush clovers","Lespedeza","17"
"anil de pasto","Indigofera suffruticosa","16"
"Virginia groundcherry","Physalis virginiana var. virginiana","16"
"redtop","Agrostis gigantea","16"
"little mallow","Malva parviflora","16"
"autumn olive","Elaeagnus umbellata","16"
"tall thistle","Cirsium altissimum","16"
"common mouse-ear chickweed","Cerastium fontanum","16"
"American black nightshade","Solanum americanum","16"
"narrow-leaved cattail","Typha angustifolia","15"
"Japanese netvein hollyfern","Cyrtomium falcatum","15"
"squirreltail fescue","Vulpia bromoides","15"
"aphid","Uroleucon spp.","15"
"Elaeagnus","Elaeagnus spp.","15"
"corn leaf aphid","Rhopalosiphum maidis","15"
"cereal rye","Secale cereale","15"
"mollusc-eating hammerhead worm","Bipalium vagum","15"
"puncturevine","Tribulus terrestris","14"
