"Common Name","Scientific Name","Number of Records"
"corn earworm, tomato fruitworm","Helicoverpa zea","2,565"
"European corn borer","Ostrinia nubilalis","1,730"
"white clover","Trifolium repens","735"
"multicolored Asian lady beetle","Harmonia axyridis","698"
"Japanese honeysuckle","Lonicera japonica","606"
"wine raspberry","Rubus phoenicolasius","604"
"Japanese stiltgrass","Microstegium vimineum","595"
"wavyleaf basketgrass","Oplismenus undulatifolius","594"
"garlic mustard","Alliaria petiolata","537"
"tree-of-heaven","Ailanthus altissima","523"
"multiflora rose","Rosa multiflora","463"
"Japanese barberry","Berberis thunbergii","392"
"red clover","Trifolium pratense","362"
"mile-a-minute vine, Asiatic tearthumb","Persicaria perfoliata","348"
"Japanese knotweed","Reynoutria japonica","286"
"gray mold","Botrytis cinerea","255"
"henbit","Lamium amplexicaule","249"
"brown marmorated stink bug","Halyomorpha halys","228"
"spongy moth (formerly gypsy moth)","Lymantria dispar","227"
"common chickweed","Stellaria media","222"
"buckhorn plantain","Plantago lanceolata","214"
"eastern poison-ivy","Toxicodendron radicans","209"
"ground ivy","Glechoma hederacea","205"
"southern pine beetle","Dendroctonus frontalis","202"
"fall armyworm","Spodoptera frugiperda","198"
"Japanese hop","Humulus japonicus","190"
"lesser celandine, fig buttercup","Ficaria verna","189"
"Amur honeysuckle","Lonicera maackii","187"
"hemlock woolly adelgid","Adelges tsugae","175"
"autumn olive","Elaeagnus umbellata","174"
"common pokeweed","Phytolacca americana","174"
"round leaf bittersweet","Celastrus orbiculatus","171"
"white pine blister rust","Cronartium ribicola","166"
"perilla mint","Perilla frutescens","152"
"cucurbit downy mildew","Pseudoperonospora cubensis","131"
"chicory","Cichorium intybus","128"
"English ivy","Hedera helix","123"
"kudzu","Pueraria montana var. lobata","110"
"dandelion","Taraxacum officinale","109"
"Callery pear (Bradford pear)","Pyrus calleryana","103"
"bush honeysuckles (exotic)","Lonicera spp.","100"
"large aspen tortrix","Choristoneura conflictana","98"
"purple deadnettle","Lamium purpureum","98"
"emerald ash borer","Agrilus planipennis","96"
"common mullein","Verbascum thapsus","90"
"white mulberry","Morus alba","85"
"spotted spurge","Euphorbia maculata","84"
"American bullfrog","Lithobates catesbeianus","81"
"princesstree","Paulownia tomentosa","76"
"Japanese beetle","Popillia japonica","75"
"Asiatic dayflower","Commelina communis","74"
"Canada thistle","Cirsium arvense","73"
"eastern redcedar","Juniperus virginiana","73"
"rose rosette disease (RRD)","Emaravirus RRD","71"
"mimosa","Albizia julibrissin","67"
"common reed","Phragmites australis","66"
"Queen Anne's lace, wild carrot","Daucus carota","66"
"hairy vetch","Vicia villosa","66"
"common periwinkle","Vinca minor","65"
"broadleaf plantain","Plantago major","64"
"red-eared slider","Trachemys scripta elegans","62"
"common yarrow","Achillea millefolium","62"
"leatherleaf mahonia","Mahonia bealei","60"
"porcelain-berry","Ampelopsis glandulosa var. brevipedunculata","57"
"star-of-Bethlehem","Ornithogalum umbellatum","56"
"Chinese silvergrass","Miscanthus sinensis","56"
"Eurasian watermilfoil","Myriophyllum spicatum","56"
"coltsfoot","Tussilago farfara","52"
"bull thistle","Cirsium vulgare","52"
"sericea lespedeza","Lespedeza cuneata","50"
"Chinese wisteria","Wisteria sinensis","48"
"dogwood anthracnose","Discula destructiva","48"
"yellow rocket","Barbarea vulgaris","47"
"wild garlic","Allium vineale","45"
"common selfheal","Prunella vulgaris","45"
"common purslane","Portulaca oleracea","44"
"Norway maple","Acer platanoides","43"
"purple crown-vetch","Securigera varia","42"
"winged burning bush","Euonymus alatus","41"
"Oriental lady's thumb","Persicaria longiseta","40"
"yellow groove bamboo","Phyllostachys aureosulcata","39"
"marsh dayflower","Murdannia keisak","38"
"yellow sweet-clover","Melilotus officinalis","37"
"curly dock","Rumex crispus","37"
"stinging nettle","Urtica dioica","36"
"poison hemlock","Conium maculatum","36"
"hairy bittercress","Cardamine hirsuta","35"
"Japanese wisteria","Wisteria floribunda","33"
"red fox","Vulpes vulpes","33"
"sacred bamboo","Nandina domestica","32"
"hydrilla","Hydrilla verticillata","32"
"Persian speedwell","Veronica persica","31"
"common mouse-ear chickweed","Cerastium fontanum","31"
"American burnweed","Erechtites hieraciifolius","31"
"moth mullein","Verbascum blattaria","30"
"sweet autumn virginsbower","Clematis terniflora","30"
"common vetch","Vicia sativa","30"
"small carpetgrass, joint-head grass","Arthraxon hispidus","30"
"sweet vernalgrass","Anthoxanthum odoratum","29"
"yellow woodsorrel","Oxalis stricta","29"
"spotted knapweed","Centaurea stoebe ssp. micranthos","28"
"red sorrel","Rumex acetosella","28"
"butternut canker","Ophiognomonia clavigignenti-juglandacearum","28"
"common St. Johnswort","Hypericum perforatum","27"
"Morrow's honeysuckle","Lonicera morrowii","27"
"Himalayan blackberry","Rubus armeniacus","27"
"purple loosestrife","Lythrum salicaria","27"
"scarlet pimpernel","Anagallis arvensis","27"
"black medic","Medicago lupulina","26"
"rabbitfoot clover","Trifolium arvense","25"
"black locust","Robinia pseudoacacia","25"
"European common reed, Phragmites","Phragmites australis ssp. australis","25"
"dames rocket","Hesperis matronalis","25"
"mile-a-minute weevil","Rhinoncomimus latipes","25"
"ladysthumb","Persicaria maculosa","25"
"oxeye daisy","Leucanthemum vulgare","24"
"lambsquarters","Chenopodium album","24"
"imported willow leaf beetle","Plagiodera versicolora","24"
"reed canarygrass","Phalaris arundinacea","24"
"spring whitlowgrass","Draba verna","24"
"European water chestnut","Trapa natans","24"
"watercress","Nasturtium officinale","24"
"European privet","Ligustrum vulgare","23"
"chestnut blight or canker","Cryphonectria parasitica","23"
"tawny daylily","Hemerocallis fulva","23"
"winter creeper","Euonymus fortunei","23"
"common burdock, lesser burdock","Arctium minus","23"
"Canadian horseweed","Erigeron canadensis","23"
"giant foxtail","Setaria faberi","23"
"creeping yellow loosestrife, creeping Jenny","Lysimachia nummularia","22"
"chocolate vine","Akebia quinata","22"
"common chickweed","Stellaria pallida","22"
"Deptford pink","Dianthus armeria","22"
"Canada bluegrass","Poa compressa","22"
"catchweed bedstraw","Galium aparine","22"
"common groundsel","Senecio vulgaris","22"
"bittersweet nightshade","Solanum dulcamara","21"
