"Common Name","Scientific Name","Number of Records"
"multiflora rose","Rosa multiflora","2,077"
"round leaf bittersweet","Celastrus orbiculatus","1,950"
"Japanese knotweed","Reynoutria japonica","1,516"
"glossy buckthorn","Frangula alnus","1,386"
"Japanese barberry","Berberis thunbergii","1,195"
"multicolored Asian lady beetle","Harmonia axyridis","1,029"
"purple loosestrife","Lythrum salicaria","922"
"perennial pepperweed","Lepidium latifolium","754"
"garlic mustard","Alliaria petiolata","718"
"winged burning bush","Euonymus alatus","657"
"bush honeysuckles (exotic)","Lonicera spp.","631"
"European water chestnut","Trapa natans","575"
"red clover","Trifolium pratense","561"
"white clover","Trifolium repens","537"
"coltsfoot","Tussilago farfara","518"
"autumn olive","Elaeagnus umbellata","510"
"Japanese stiltgrass","Microstegium vimineum","493"
"mugwort","Artemisia vulgaris","484"
"common buckthorn, European buckthorn","Rhamnus cathartica","480"
"reed canarygrass","Phalaris arundinacea","473"
"Japanese beetle","Popillia japonica","439"
"common barberry","Berberis vulgaris","418"
"black locust","Robinia pseudoacacia","382"
"Norway maple","Acer platanoides","318"
"European common reed, Phragmites","Phragmites australis ssp. australis","305"
"goutweed","Aegopodium podagraria","263"
"buckhorn plantain","Plantago lanceolata","261"
"tree-of-heaven","Ailanthus altissima","254"
"Black dog-strangling vine, black swallowwort","Vincetoxicum nigrum","245"
"Scotch broom","Cytisus scoparius","236"
"spotted knapweed","Centaurea stoebe ssp. micranthos","225"
"dandelion","Taraxacum officinale","219"
"creeping yellow loosestrife, creeping Jenny","Lysimachia nummularia","219"
"Morrow's honeysuckle","Lonicera morrowii","213"
"cypress spurge","Euphorbia cyparissias","205"
"henbit","Lamium amplexicaule","197"
"creeping buttercup","Ranunculus repens","195"
"bittersweet nightshade","Solanum dulcamara","184"
"lesser celandine, fig buttercup","Ficaria verna","184"
"common pokeweed","Phytolacca americana","169"
"dames rocket","Hesperis matronalis","164"
"true forget-me-not","Myosotis scorpioides","149"
"spotted spurge","Euphorbia maculata","141"
"spongy moth (formerly gypsy moth)","Lymantria dispar","139"
"Japanese honeysuckle","Lonicera japonica","139"
"hemlock woolly adelgid","Adelges tsugae","130"
"privet","Ligustrum spp.","128"
"curly leaf pondweed","Potamogeton crispus","126"
"white pine blister rust","Cronartium ribicola","126"
"eastern poison-ivy","Toxicodendron radicans","125"
"greater celandine","Chelidonium majus","124"
"Seaside rose","Rosa rugosa","122"
"common reed","Phragmites australis","122"
"pale yellow iris, yellow flag iris","Iris pseudacorus","120"
"Queen Anne's lace, wild carrot","Daucus carota","114"
"European corn borer","Ostrinia nubilalis","110"
"yellow toadflax","Linaria vulgaris","110"
"large aspen tortrix","Choristoneura conflictana","108"
"twoleaf watermilfoil","Myriophyllum heterophyllum","106"
"Carolina fanwort, fanwort","Cabomba caroliniana","106"
"chicory","Cichorium intybus","105"
"American bullfrog","Lithobates catesbeianus","100"
"Chinese silvergrass","Miscanthus sinensis","99"
"ground ivy","Glechoma hederacea","97"
"hairy willowherb","Epilobium hirsutum","96"
"eastern redcedar","Juniperus virginiana","94"
"common purslane","Portulaca oleracea","94"
"European Corn Borer","Ostrinia nubilalis Iowa (E) strain","94"
"European Corn Borer","Ostrinia nubilalis New York (Z) strain","92"
"European water-clover","Marsilea quadrifolia","91"
"white poplar","Populus alba","90"
"watercress","Nasturtium officinale","90"
"bouncingbet","Saponaria officinalis","89"
"common chickweed","Stellaria media","89"
"border privet","Ligustrum obtusifolium","86"
"wandering broadhead planarian","Bipalium adventitium","85"
"common mullein","Verbascum thapsus","83"
"showy fly honeysuckle, Bell's honeysuckle","Lonicera x bella","83"
"common tansy","Tanacetum vulgare","82"
"red sorrel","Rumex acetosella","80"
"porcelain-berry","Ampelopsis glandulosa var. brevipedunculata","76"
"Japanese black pine","Pinus thunbergii","74"
"European privet","Ligustrum vulgare","68"
"brown marmorated stink bug","Halyomorpha halys","67"
"Eurasian watermilfoil","Myriophyllum spicatum","66"
"broadleaf plantain","Plantago major","66"
"coyote","Canis latrans","66"
"Canada thistle","Cirsium arvense","64"
"Chinese privet","Ligustrum sinense","64"
"indigobush","Amorpha fruticosa","61"
"winter moth","Operophtera brumata","61"
"Sycamore maple","Acer pseudoplatanus","59"
"purple crown-vetch","Securigera varia","58"
"common mouse-ear chickweed","Cerastium fontanum","56"
"common periwinkle","Vinca minor","55"
"common yarrow","Achillea millefolium","55"
"star-of-Bethlehem","Ornithogalum umbellatum","54"
"white campion","Silene latifolia","53"
"cucurbit downy mildew","Pseudoperonospora cubensis","53"
"fragrant waterlily","Nymphaea odorata","53"
"perennial ryegrass","Lolium perenne","51"
"leafy spurge","Euphorbia esula","51"
"rabbitfoot clover","Trifolium arvense","51"
"common St. Johnswort","Hypericum perforatum","50"
"yellow woodsorrel","Oxalis stricta","50"
"lambsquarters","Chenopodium album","48"
"cheatgrass, downy brome","Bromus tectorum","48"
"bull thistle","Cirsium vulgare","48"
"hairy vetch","Vicia villosa","47"
"birdsfoot trefoil","Lotus corniculatus","47"
"Japanese hop","Humulus japonicus","46"
"common selfheal","Prunella vulgaris","44"
"Asiatic dayflower","Commelina communis","44"
"weeping lovegrass","Eragrostis curvula","43"
"curly dock","Rumex crispus","43"
"corn earworm, tomato fruitworm","Helicoverpa zea","43"
"Deptford pink","Dianthus armeria","42"
"purple deadnettle","Lamium purpureum","42"
"jimsonweed","Datura stramonium","42"
"common cattail","Typha latifolia","42"
"lily leaf beetle","Lilioceris lilii","42"
"big chickweed","Cerastium fontanum ssp. vulgare","42"
