"Common Name","Scientific Name","Number of Records"
"spotted knapweed","Centaurea stoebe ssp. micranthos","3,339"
"common St. Johnswort","Hypericum perforatum","2,515"
"purple loosestrife","Lythrum salicaria","1,289"
"marsh thistle","Cirsium palustre","1,149"
"showy fly honeysuckle, Bell's honeysuckle","Lonicera x bella","973"
"Japanese barberry","Berberis thunbergii","943"
"bird cherry-oat aphid","Rhopalosiphum padi","906"
"yellow sweet-clover","Melilotus officinalis","885"
"common mullein","Verbascum thapsus","850"
"garlic mustard","Alliaria petiolata","850"
"spongy moth (formerly gypsy moth)","Lymantria dispar","811"
"white pine blister rust","Cronartium ribicola","780"
"autumn olive","Elaeagnus umbellata","732"
"large aspen tortrix","Choristoneura conflictana","704"
"emerald ash borer","Agrilus planipennis","659"
"gall aphids","Pemphigus spp.","652"
"spotted alfalfa aphid","Therioaphis trifolii","605"
"glossy buckthorn","Frangula alnus","598"
"common buckthorn, European buckthorn","Rhamnus cathartica","597"
"artichoke aphid","Capitophorus elaeagni","560"
"aphid","Tetraneura spp.","550"
"spruce budworm","Choristoneura fumiferana","536"
"soybean aphid","Aphis glycines","513"
"spruce beetle","Dendroctonus rufipennis","488"
"bull thistle","Cirsium vulgare","486"
"Japanese stiltgrass","Microstegium vimineum","477"
"Queen Anne's lace, wild carrot","Daucus carota","473"
"red clover","Trifolium pratense","464"
"jack pine budworm","Choristoneura pinus pinus","456"
"Canada thistle","Cirsium arvense","455"
"Japanese beetle","Popillia japonica","443"
"oak wilt","Bretziella fagacearum","443"
"turnip aphid","Lipaphis pseudobrassicae","432"
"pea aphid","Acyrthosiphon pisum","428"
"white clover","Trifolium repens","420"
"smooth brome","Bromus inermis ssp. inermis","388"
"corn leaf aphid","Rhopalosiphum maidis","385"
"wild parsnip","Pastinaca sativa","383"
"waterlily aphid","Rhopalosiphum nymphaeae","382"
"aphid","Capitophorus hippophaes","369"
"bittersweet nightshade","Solanum dulcamara","366"
"multicolored Asian lady beetle","Harmonia axyridis","364"
"mealy plum aphid","Hyalopterus pruni","360"
