"Common Name","Scientific Name","Number of Records"
"common tansy","Tanacetum vulgare","37,861"
"Canada thistle","Cirsium arvense","31,119"
"reed canarygrass","Phalaris arundinacea","21,012"
"spotted knapweed","Centaurea stoebe ssp. micranthos","17,646"
"thistle","Cirsium","15,457"
"common buckthorn, European buckthorn","Rhamnus cathartica","14,748"
"wild parsnip","Pastinaca sativa","14,584"
"oak wilt","Bretziella fagacearum","9,832"
"purple loosestrife","Lythrum salicaria","6,940"
"bull thistle","Cirsium vulgare","6,495"
"emerald ash borer","Agrilus planipennis","5,913"
"birdsfoot trefoil","Lotus corniculatus","5,484"
"bush honeysuckles (exotic)","Lonicera spp.","5,179"
"oxeye daisy","Leucanthemum vulgare","4,789"
"leafy spurge","Euphorbia esula","4,711"
"smooth brome","Bromus inermis","3,876"
"white sweetclover","Melilotus albus","3,712"
"garlic mustard","Alliaria petiolata","3,584"
"orange hawkweed","Pilosella aurantiaca","3,504"
"spiny plumeless thistle","Carduus acanthoides","3,099"
"corn earworm, tomato fruitworm","Helicoverpa zea","2,836"
"common St. Johnswort","Hypericum perforatum","2,286"
"common mullein","Verbascum thapsus","2,244"
"yellow sweet-clover","Melilotus officinalis","2,135"
"hoary alyssum","Berteroa incana","2,080"
"round leaf bittersweet","Celastrus orbiculatus","1,959"
"purple crown-vetch","Securigera varia","1,773"
"leaf beetles","Galerucella spp.","1,698"
"European Corn Borer","Ostrinia nubilalis New York (Z) strain","1,566"
"European common reed, Phragmites","Phragmites australis ssp. australis","1,553"
"perennial sowthistle","Sonchus arvensis","1,499"
"common yarrow","Achillea millefolium","1,451"
"dandelion","Taraxacum officinale","1,406"
"Kentucky bluegrass","Poa pratensis","1,389"
"Eurasian watermilfoil","Myriophyllum spicatum","1,330"
"motherwort","Leonurus cardiaca","1,309"
"yellow toadflax","Linaria vulgaris","1,242"
"Japanese barberry","Berberis thunbergii","1,234"
"curly leaf pondweed","Potamogeton crispus","1,167"
"Siberian peashrub","Caragana arborescens","1,148"
"brown marmorated stink bug","Halyomorpha halys","1,135"
"Siberian elm","Ulmus pumila","1,089"
"ground ivy","Glechoma hederacea","1,083"
"red clover","Trifolium pratense","1,066"
"dames rocket","Hesperis matronalis","1,060"
"white campion","Silene latifolia","1,034"
"glossy buckthorn","Frangula alnus","1,012"
"poison hemlock","Conium maculatum","956"
"bird cherry-oat aphid","Rhopalosiphum padi","950"
"bittersweet nightshade","Solanum dulcamara","935"
"common valerian","Valeriana officinalis","885"
"Queen Anne's lace, wild carrot","Daucus carota","863"
"Amur maple","Acer ginnala","846"
"large aspen tortrix","Choristoneura conflictana","789"
"creeping bellflower","Campanula rapunculoides","781"
"Japanese beetle","Popillia japonica","760"
"Japanese knotweed","Reynoutria japonica","754"
"western salsify","Tragopogon dubius","742"
"hairy vetch","Vicia villosa","726"
"white clover","Trifolium repens","710"
"hawkweeds","Hieracium spp.","702"
"stinging nettle","Urtica dioica","673"
"plumeless thistle","Carduus","667"
"Tatarian honeysuckle","Lonicera tatarica","661"
"squill","Scilla siberica","661"
"musk thistle, nodding thistle","Carduus nutans","657"
"common selfheal","Prunella vulgaris","649"
"Japanese hop","Humulus japonicus","638"
"cow vetch","Vicia cracca ssp. tenuifolia","634"
"brown-legged spurge flea beetle","Aphthona lacertosa","625"
