"Common Name","Scientific Name","Number of Records"
"Japanese honeysuckle","Lonicera japonica","14,161"
"privet","Ligustrum spp.","7,364"
"Japanese climbing fern","Lygodium japonicum","2,244"
"corn earworm, tomato fruitworm","Helicoverpa zea","2,037"
"kudzu","Pueraria montana var. lobata","1,327"
"Chinese tallowtree","Triadica sebifera","1,119"
"sericea lespedeza","Lespedeza cuneata","836"
"Heterobasidion root rots","Heterobasidion spp.","748"
"pig (feral), wild boar at large","Sus scrofa (feral type)","731"
"cogongrass","Imperata cylindrica","688"
"Japanese privet","Ligustrum japonicum","667"
"southern pine beetle","Dendroctonus frontalis","658"
"mimosa","Albizia julibrissin","655"
"Japanese stiltgrass","Microstegium vimineum","485"
"alligatorweed","Alternanthera philoxeroides","437"
"chinaberry","Melia azedarach","374"
"rose","Rosa spp.","373"
"tall fescue","Festuca arundinacea","317"
"kudzu","Pueraria montana","287"
"torpedograss","Panicum repens","237"
"Callery pear (Bradford pear)","Pyrus calleryana","210"
"johnsongrass","Sorghum halepense","205"
"multicolored Asian lady beetle","Harmonia axyridis","204"
"Chinese privet","Ligustrum sinense","199"
"henbit","Lamium amplexicaule","196"
"shrubby lespedeza","Lespedeza bicolor","193"
"hairy bush clovers","Lespedeza","190"
"English ivy","Hedera helix","190"
"sacred bamboo","Nandina domestica","186"
"soybean rust","Phakopsora pachyrhizi","171"
"parrotfeather","Myriophyllum aquaticum","168"
"Canadian horseweed","Erigeron canadensis","163"
"white clover","Trifolium repens","157"
"trifoliate orange","Citrus trifoliata","150"
"Southern corn rust","Puccinia polysora","148"
"Brazilian vervain","Verbena incompta","146"
"perennial ryegrass","Lolium perenne","142"
"spotted spurge","Euphorbia maculata","140"
"common water hyacinth","Eichhornia crassipes","136"
"Chinese wisteria","Wisteria sinensis","130"
"curly dock","Rumex crispus","127"
"curly dock","Rumex crispus ssp. crispus","126"
"Virginia pepperweed","Lepidium virginicum","121"
"eastern redcedar","Juniperus virginiana","120"
"hairy vetch","Vicia villosa","117"
"cutleaf evening-primrose","Oenothera laciniata","114"
"vaseygrass","Paspalum urvillei","111"
"bush honeysuckles (exotic)","Lonicera spp.","110"
"sugarcane aphid","Melanaphis sacchari","109"
"purple cudweed","Gamochaeta purpurea","107"
"multiflora rose","Rosa multiflora","107"
"tungoil tree","Vernicia fordii","105"
"common vetch","Vicia sativa","103"
"bahiagrass","Paspalum notatum","102"
"hydrilla","Hydrilla verticillata","99"
"kudzu bug","Megacopta cribraria","95"
"common selfheal","Prunella vulgaris","92"
"barnyardgrass","Echinochloa crus-galli","91"
"dallisgrass","Paspalum dilatatum","88"
