"Common Name","Scientific Name","Number of Records"
"sericea lespedeza","Lespedeza cuneata","3,387"
"autumn olive","Elaeagnus umbellata","3,038"
"multiflora rose","Rosa multiflora","1,699"
"oak wilt","Bretziella fagacearum","863"
"Japanese honeysuckle","Lonicera japonica","806"
"corn earworm, tomato fruitworm","Helicoverpa zea","805"
"perilla mint","Perilla frutescens","801"
"spotted knapweed","Centaurea stoebe ssp. micranthos","502"
"white clover","Trifolium repens","443"
"common carp","Cyprinus carpio","415"
"common pokeweed","Phytolacca americana","397"
"common mullein","Verbascum thapsus","391"
"Japanese stiltgrass","Microstegium vimineum","379"
"johnsongrass","Sorghum halepense","350"
"musk thistle, nodding thistle","Carduus nutans","349"
"bird cherry-oat aphid","Rhopalosiphum padi","336"
"pig (feral), wild boar at large","Sus scrofa (feral type)","336"
"Queen Anne's lace, wild carrot","Daucus carota","336"
"garlic mustard","Alliaria petiolata","322"
"purple deadnettle","Lamium purpureum","318"
"henbit","Lamium amplexicaule","317"
"Mexican fireweed","Bassia scoparia","309"
"purple crown-vetch","Securigera varia","306"
"red clover","Trifolium pratense","302"
"rice root aphid","Rhopalosiphum rufiabdominale","284"
"Japanese beetle","Popillia japonica","258"
"ground ivy","Glechoma hederacea","245"
"yellow sweet-clover","Melilotus officinalis","242"
"buckhorn plantain","Plantago lanceolata","231"
"shepherd's-purse","Capsella bursa-pastoris","228"
"dandelion","Taraxacum officinale","225"
"spotted spurge","Euphorbia maculata","223"
"yellow rocket","Barbarea vulgaris","223"
"bull thistle","Cirsium vulgare","222"
"Canadian horseweed","Erigeron canadensis","221"
"gall aphids","Pemphigus spp.","219"
"multicolored Asian lady beetle","Harmonia axyridis","218"
"sulfur cinquefoil","Potentilla recta","216"
"tree-of-heaven","Ailanthus altissima","215"
"red sorrel","Rumex acetosella","214"
"common selfheal","Prunella vulgaris","211"
"chicory","Cichorium intybus","205"
"bouncingbet","Saponaria officinalis","204"
"oxeye daisy","Leucanthemum vulgare","204"
"Deptford pink","Dianthus armeria","204"
"mimosa","Albizia julibrissin","203"
"reed canarygrass","Phalaris arundinacea","202"
"velvetleaf","Abutilon theophrasti","199"
"dotted smartweed","Persicaria punctata","196"
