"Common Name","Scientific Name","Number of Records"
"corn earworm, tomato fruitworm","Helicoverpa zea","410"
"Canada thistle","Cirsium arvense","371"
"leafy spurge","Euphorbia esula","235"
"cheatgrass, downy brome","Bromus tectorum","198"
"Southern corn rust","Puccinia polysora","181"
"Japanese beetle","Popillia japonica","178"
"European Corn Borer","Ostrinia nubilalis New York (Z) strain","174"
"western salsify","Tragopogon dubius","167"
"yellow sweet-clover","Melilotus officinalis","157"
"green foxtail","Setaria viridis","152"
"Russian thistle","Salsola tragus","151"
"smooth brome","Bromus inermis","151"
"stinkgrass","Eragrostis cilianensis","148"
"musk thistle, nodding thistle","Carduus nutans","147"
"Kentucky bluegrass","Poa pratensis","147"
"wild buckwheat","Fallopia convolvulus","142"
"white clover","Trifolium repens","141"
"bird cherry-oat aphid","Rhopalosiphum padi","141"
"Canadian horseweed","Erigeron canadensis","139"
"catnip","Nepeta cataria","136"
"longspine sandbur","Cenchrus longispinus","135"
"Mexican fireweed","Bassia scoparia","133"
"creeping bentgrass","Agrostis stolonifera","133"
"pale smartweed","Polygonum lapathifolium","133"
"dandelion","Taraxacum officinale","132"
"Russian olive","Elaeagnus angustifolia","132"
"eastern redcedar","Juniperus virginiana","131"
"red clover","Trifolium pratense","128"
"field brome","Bromus arvensis","124"
"tumble mustard","Sisymbrium altissimum","122"
"western bean cutworm","Striacosta albicosta","121"
"reed canarygrass","Phalaris arundinacea","119"
"stinging nettle","Urtica dioica","118"
"fall armyworm","Spodoptera frugiperda","117"
"prickly lettuce","Lactuca serriola","117"
"hairy vetch","Vicia villosa","116"
"field pennycress","Thlaspi arvense","115"
"field bindweed","Convolvulus arvensis","115"
"puncturevine","Tribulus terrestris","115"
"curly dock","Rumex crispus","113"
"curly dock","Rumex crispus ssp. crispus","113"
"prairie sunflower","Helianthus petiolaris","113"
"black medic","Medicago lupulina","113"
"henbit","Lamium amplexicaule","112"
"wild four-o'clock","Mirabilis nyctaginea","111"
"common cocklebur","Xanthium strumarium","110"
"large crabgrass","Digitaria sanguinalis","110"
"white mulberry","Morus alba","109"
"flixweed","Descurainia sophia","109"
"spotted spurge","Euphorbia maculata","107"
"blue lettuce","Lactuca tatarica","107"
"shepherd's-purse","Capsella bursa-pastoris","107"
"common duckweed","Lemna minor","105"
"common mullein","Verbascum thapsus","101"
"dotted smartweed","Persicaria punctata","101"
"timothy","Phleum pratense","100"
"crested wheatgrass","Agropyron cristatum","100"
"Dutch elm disease (novi-ulmi)","Ophiostoma novo-ulmi","95"
"black cutworm","Agrotis ipsilon","95"
"hemp/marijuana (sativa)","Cannabis sativa","94"
"garlic mustard","Alliaria petiolata","93"
"spotted alfalfa aphid","Therioaphis trifolii","89"
"yellow woodsorrel","Oxalis stricta","88"
"gall aphids","Pemphigus spp.","86"
"green bristlegrass","Setaria viridis var. viridis","84"
"giantseed goosefoot","Chenopodium simplex","84"
"Canada bluegrass","Poa compressa","84"
