"Common Name","Scientific Name","Number of Records"
"perennial pepperweed","Lepidium latifolium","8,016"
"hoary cress","Lepidium draba","7,300"
"cheatgrass, downy brome","Bromus tectorum","6,180"
"bull thistle","Cirsium vulgare","4,656"
"African mustard","Brassica tournefortii","4,336"
"Scotch thistle","Onopordum acanthium","3,656"
"musk thistle, nodding thistle","Carduus nutans","3,067"
"saltcedar","Tamarix ramosissima","3,060"
"Russian knapweed","Rhaponticum repens","2,996"
"Canada thistle","Cirsium arvense","2,600"
"medusahead","Taeniatherum caput-medusae","1,540"
"tamarisk","Tamarix spp.","967"
"crimson fountaingrass","Cenchrus setaceus","892"
"leafy spurge","Euphorbia esula var. esula","801"
"Russian thistle","Salsola kali","660"
"spotted knapweed","Centaurea stoebe ssp. micranthos","656"
"black henbane","Hyoscyamus niger","628"
"halogeton, saltlover","Halogeton glomeratus","556"
"poison hemlock","Conium maculatum","541"
"Russian olive","Elaeagnus angustifolia","508"
"tumble mustard","Sisymbrium altissimum","473"
"yellow starthistle","Centaurea solstitialis","456"
"puncturevine","Tribulus terrestris","438"
"white horehound","Marrubium vulgare","377"
"curly dock","Rumex crispus","367"
"California fan palm","Washingtonia filifera","337"
"yellowspine thistle","Cirsium ochrocentrum","317"
"redstem filaree","Erodium cicutarium","312"
"common mullein","Verbascum thapsus","283"
"flixweed","Descurainia sophia","261"
"leafy spurge","Euphorbia esula","240"
"African mustard","Strigosella africana","239"
"Malta starthistle","Centaurea melitensis","237"
"bur buttercup","Ceratocephala testiculata","231"
"red brome","Bromus rubens","217"
"morning-glory","Ipomoea spp.","210"
"oriental mustard","Sisymbrium orientale","201"
"diffuse knapweed","Centaurea diffusa","197"
"Dalmatian toadflax","Linaria dalmatica","194"
"blue mustard","Chorispora tenella","189"
"ripgut brome","Bromus diandrus","182"
"alfalfa","Medicago sativa","176"
"yellow sweet-clover","Melilotus officinalis","172"
"clasping pepperweed","Lepidium perfoliatum","166"
"common reed","Phragmites australis","154"
"London rocket","Sisymbrium irio","149"
"common mallow","Malva neglecta","142"
"Kentucky bluegrass","Poa pratensis","138"
"field bindweed","Convolvulus arvensis","125"
"houndstongue","Cynoglossum officinale","121"
"Siberian elm","Ulmus pumila","117"
"spotted waterhemlock","Cicuta maculata","113"
"lambsquarters","Chenopodium album","104"
"jointed goatgrass","Aegilops cylindrica","99"
"crested wheatgrass","Agropyron cristatum","99"
"purple loosestrife","Lythrum salicaria","96"
"black locust","Robinia pseudoacacia","89"
"Russian thistle","Salsola tragus","82"
"Chilean chess","Bromus berteroanus","80"
"common teasel","Dipsacus fullonum","80"
"western waterhemlock","Cicuta douglasii","76"
"silverleaf nightshade","Solanum elaeagnifolium","75"
"mountain pine beetle","Dendroctonus ponderosae","72"
"white sweetclover","Melilotus albus","72"
"chicory","Cichorium intybus","71"
"whitetop","Cardaria spp.","70"
"Dyer's woad","Isatis tinctoria","67"
"field pennycress","Thlaspi arvense","67"
"dandelion","Taraxacum officinale","62"
"large aspen tortrix","Choristoneura conflictana","59"
"dandelion","Taraxacum","59"
"curlycup gumweed","Grindelia squarrosa","58"
"fir engraver","Scolytus ventralis","56"
"western salsify","Tragopogon dubius","56"
"watercress","Nasturtium officinale","54"
"black medic","Medicago lupulina","52"
"mouse barley","Hordeum murinum","52"
"hairy whitetop","Lepidium appelianum","51"
"African rue","Peganum harmala","50"
"Athel tamarisk","Tamarix aphylla","49"
"","Choristoneura occidentalis","48"
"western pine beetle","Dendroctonus brevicomis","44"
