"Common Name","Scientific Name","Number of Records"
"corn earworm, tomato fruitworm","Helicoverpa zea","99,349"
"European corn borer","Ostrinia nubilalis","76,263"
"brown marmorated stink bug","Halyomorpha halys","22,071"
"armyworm","Spodoptera cosmioides","5,026"
"linden viburnum","Viburnum dilatatum","1,328"
"white clover","Trifolium repens","1,118"
"sericea lespedeza","Lespedeza cuneata","1,087"
"Japanese angelica tree","Aralia elata","1,033"
"buckhorn plantain","Plantago lanceolata","924"
"Oriental photinia","Photinia villosa","905"
"English ivy","Hedera helix","843"
"multiflora rose","Rosa multiflora","840"
"Japanese barberry","Berberis thunbergii","816"
"mile-a-minute vine, Asiatic tearthumb","Persicaria perfoliata","759"
"tree-of-heaven","Ailanthus altissima","704"
"porcelain-berry","Ampelopsis glandulosa var. brevipedunculata","645"
"Callery pear (Bradford pear)","Pyrus calleryana","636"
"multicolored Asian lady beetle","Harmonia axyridis","611"
"autumn olive","Elaeagnus umbellata","537"
"Japanese honeysuckle","Lonicera japonica","529"
"wine raspberry","Rubus phoenicolasius","523"
"winged burning bush","Euonymus alatus","519"
"garlic mustard","Alliaria petiolata","516"
"red clover","Trifolium pratense","515"
"Japanese stiltgrass","Microstegium vimineum","505"
"mugwort","Artemisia vulgaris","470"
"eastern poison-ivy","Toxicodendron radicans","438"
"round leaf bittersweet","Celastrus orbiculatus","419"
"common chickweed","Stellaria media","414"
"dandelion","Taraxacum officinale","410"
"henbit","Lamium amplexicaule","384"
"mimosa","Albizia julibrissin","360"
"Japanese knotweed","Reynoutria japonica","334"
"spotted spurge","Euphorbia maculata","329"
"eastern redcedar","Juniperus virginiana","298"
"Japanese wisteria","Wisteria floribunda","273"
"Siebold's arrowwood","Viburnum sieboldii","273"
"common purslane","Portulaca oleracea","262"
"common reed","Phragmites australis","262"
"sweet autumn virginsbower","Clematis terniflora","259"
"ground ivy","Glechoma hederacea","250"
"wild garlic","Allium vineale","243"
"indigobush","Amorpha fruticosa","239"
"Norway maple","Acer platanoides","237"
"common pokeweed","Phytolacca americana","235"
"jetbead","Rhodotypos scandens","219"
"narrowleaf bittercress","Cardamine impatiens","216"
"Queen Anne's lace, wild carrot","Daucus carota","210"
"Japanese hop","Humulus japonicus","206"
"black locust","Robinia pseudoacacia","200"
"spongy moth (formerly gypsy moth)","Lymantria dispar","199"
"border privet","Ligustrum obtusifolium","199"
"common mullein","Verbascum thapsus","193"
"hemlock woolly adelgid","Adelges tsugae","192"
"white pine blister rust","Cronartium ribicola","181"
"glossy buckthorn","Frangula alnus","176"
"winter creeper","Euonymus fortunei","175"
"Chinese silvergrass","Miscanthus sinensis","174"
"large aspen tortrix","Choristoneura conflictana","171"
"lesser celandine, fig buttercup","Ficaria verna","170"
"bull thistle","Cirsium vulgare","167"
"common mouse-ear chickweed","Cerastium fontanum","155"
"Canada thistle","Cirsium arvense","154"
"common buckthorn, European buckthorn","Rhamnus cathartica","149"
"common yarrow","Achillea millefolium","144"
"Chinese wisteria","Wisteria sinensis","141"
"broadleaf dock","Rumex obtusifolius","138"
"southern pine beetle","Dendroctonus frontalis","137"
"hairy bittercress","Cardamine hirsuta","134"
"weeping lovegrass","Eragrostis curvula","134"
"purple crown-vetch","Securigera varia","134"
"toringo crab","Malus toringo","133"
"Amur honeysuckle","Lonicera maackii","133"
"chicory","Cichorium intybus","132"
"yellow rocket","Barbarea vulgaris","131"
"purple deadnettle","Lamium purpureum","128"
"common periwinkle","Vinca minor","126"
"fall armyworm","Spodoptera frugiperda","126"
"yellow woodsorrel","Oxalis stricta","124"
"common groundsel","Senecio vulgaris","121"
"mile-a-minute weevil","Rhinoncomimus latipes","112"
"Japanese maple","Acer palmatum","109"
"false strawberry","Potentilla indica","108"
"common selfheal","Prunella vulgaris","104"
"pale yellow iris, yellow flag iris","Iris pseudacorus","103"
"chocolate vine","Akebia quinata","101"
"broadleaf plantain","Plantago major","99"
"Morrow's honeysuckle","Lonicera morrowii","95"
"curly dock","Rumex crispus","94"
"princesstree","Paulownia tomentosa","94"
"Japanese sedge","Carex kobomugi","91"
"yellow toadflax","Linaria vulgaris","90"
"purple loosestrife","Lythrum salicaria","89"
"bittersweet nightshade","Solanum dulcamara","89"
"common ragweed","Ambrosia artemisiifolia","88"
"black medic","Medicago lupulina","87"
"common cattail","Typha latifolia","86"
"white mulberry","Morus alba","85"
"sweet cherry","Prunus avium","84"
"lambsquarters","Chenopodium album","78"
"Asiatic dayflower","Commelina communis","77"
"privet","Ligustrum spp.","75"
"American burnweed","Erechtites hieraciifolius","74"
"orchardgrass","Dactylis glomerata","73"
"weeping Higan cherry","Prunus subhirtella var. pendula","73"
"cucurbit downy mildew","Pseudoperonospora cubensis","71"
"hairy vetch","Vicia villosa","70"
"thymeleaf speedwell","Veronica serpyllifolia","70"
"European water chestnut","Trapa natans","70"
"Sycamore maple","Acer pseudoplatanus","68"
"kudzu","Pueraria montana var. lobata","66"
"dames rocket","Hesperis matronalis","66"
"Canadian horseweed","Erigeron canadensis","65"
"Japanese beetle","Popillia japonica","65"
"poison hemlock","Conium maculatum","65"
"scarlet pimpernel","Anagallis arvensis","65"
"stinging nettle","Urtica dioica","65"
"corn speedwell","Veronica arvensis","65"
"white campion","Silene latifolia","64"
"birdsfoot trefoil","Lotus corniculatus","63"
"Virginia pepperweed","Lepidium virginicum","62"
