"Common Name","Scientific Name","Number of Records"
"musk thistle, nodding thistle","Carduus nutans","1,636"
"bull thistle","Cirsium vulgare","1,352"
"Canada thistle","Cirsium arvense","1,134"
"cheatgrass, downy brome","Bromus tectorum","723"
"perennial pepperweed","Lepidium latifolium","584"
"Russian knapweed","Rhaponticum repens","539"
"field bindweed","Convolvulus arvensis","430"
"Siberian elm","Ulmus pumila","425"
"saltcedar","Tamarix ramosissima","301"
"pecan nut casebearer","Acrobasis nuxvorella","290"
"Russian olive","Elaeagnus angustifolia","285"
"common mullein","Verbascum thapsus","267"
"hoary cress","Lepidium draba","247"
"yellow toadflax","Linaria vulgaris","241"
"Scotch thistle","Onopordum acanthium","235"
"teasel","Dipsacus","183"
"African rue","Peganum harmala","161"
"Kentucky bluegrass","Poa pratensis","158"
"tamarisk","Tamarix spp.","157"
"Russian thistle","Salsola tragus","137"
"yellow bluestem","Bothriochloa ischaemum","127"
"tree-of-heaven","Ailanthus altissima","107"
"pig (feral), wild boar at large","Sus scrofa (feral type)","99"
"fivestamen tamarisk","Tamarix chinensis","98"
"yellow sweet-clover","Melilotus officinalis","88"
"Malta starthistle","Centaurea melitensis","87"
"Mexican fireweed","Bassia scoparia","85"
"dandelion","Taraxacum officinale","82"
"leafy spurge","Euphorbia esula","81"
"Dalmatian toadflax","Linaria dalmatica","76"
"puncturevine","Tribulus terrestris","74"
"jointed goatgrass","Aegilops cylindrica","74"
"crownbeard","Verbesina encelioides","73"
"smooth brome","Bromus inermis","69"
"yellowspine thistle","Cirsium ochrocentrum","68"
"","Choristoneura occidentalis","65"
"white clover","Trifolium repens","65"
"fir engraver","Scolytus ventralis","64"
"western salsify","Tragopogon dubius","63"
"field brome","Bromus arvensis","62"
"mountain pine beetle","Dendroctonus ponderosae","62"
"weeping lovegrass","Eragrostis curvula","61"
"Douglas-fir beetle","Dendroctonus pseudotsugae","61"
"green foxtail","Setaria viridis","60"
"Canadian horseweed","Erigeron canadensis","58"
"black medic","Medicago lupulina","58"
"spotted knapweed","Centaurea stoebe ssp. micranthos","58"
"red clover","Trifolium pratense","58"
"prairie sunflower","Helianthus petiolaris","56"
"southern pine beetle","Dendroctonus frontalis","56"
"white horehound","Marrubium vulgare","55"
"redstem filaree","Erodium cicutarium","55"
"giant reed","Arundo donax","55"
"coyote","Canis latrans","54"
"silverleaf nightshade","Solanum elaeagnifolium","54"
"common cocklebur","Xanthium strumarium","53"
"onion thrips","Thrips tabaci","53"
"watercress","Nasturtium officinale","53"
"western pine beetle","Dendroctonus brevicomis","52"
"common yarrow","Achillea millefolium","52"
"orchardgrass","Dactylis glomerata","51"
"rabbitfoot polypogon","Polypogon monspeliensis","51"
"johnsongrass","Sorghum halepense","50"
"spiny sowthistle","Sonchus asper","48"
"stinkgrass","Eragrostis cilianensis","47"
"oxeye daisy","Leucanthemum vulgare","47"
"prickly lettuce","Lactuca serriola","46"
"redtop","Agrostis gigantea","46"
"common purslane","Portulaca oleracea","45"
"ponderosa pine","Pinus ponderosa","44"
"perennial ryegrass","Lolium perenne","44"
"spruce beetle","Dendroctonus rufipennis","43"
"rescuegrass","Bromus catharticus","43"
"curly dock","Rumex crispus","42"
"common mallow","Malva neglecta","42"
"curly dock","Rumex crispus ssp. crispus","42"
"Texas blueweed","Helianthus ciliaris","41"
"crested wheatgrass","Agropyron cristatum","40"
"flixweed","Descurainia sophia","40"
"alfalfa","Medicago sativa","40"
"timothy","Phleum pratense","39"
"tumble mustard","Sisymbrium altissimum","38"
"diffuse knapweed","Centaurea diffusa","38"
"henbit","Lamium amplexicaule","37"
"creeping bentgrass","Agrostis stolonifera","37"
"lambsquarters","Chenopodium album","37"
"pale smartweed","Polygonum lapathifolium","37"
"bermudagrass","Cynodon dactylon","37"
"water-bent","Polypogon viridis","36"
"barnyardgrass","Echinochloa crus-galli","36"
"cutleaf nightshade","Solanum triflorum","35"
"Douglas-fir","Pseudotsuga menziesii","35"
"broadleaf plantain","Plantago major","34"
"buckhorn plantain","Plantago lanceolata","34"
"tall wheatgrass","Thinopyrum ponticum","34"
"blue lettuce","Lactuca tatarica","34"
"meadow salsify","Tragopogon lamottei","34"
"common selfheal","Prunella vulgaris","33"
"longspine sandbur","Cenchrus longispinus","33"
"scarlet gaura","Gaura coccinea","33"
"Virginia pepperweed","Lepidium virginicum","33"
"shepherd's-purse","Capsella bursa-pastoris","33"
"American bullfrog","Lithobates catesbeianus","32"
"bristlegrass","Setaria spp.","32"
"intermediate wheatgrass","Thinopyrum intermedium","32"
"Canada bluegrass","Poa compressa","31"
"green bristlegrass","Setaria viridis var. viridis","31"
"yellow foxtail","Setaria pumila","31"
"meadow fescue","Festuca pratensis","31"
"European red raspberry","Rubus idaeus","31"
"tall fescue","Festuca arundinacea","31"
"black locust","Robinia pseudoacacia","30"
"yellow nutsedge","Cyperus esculentus","30"
"field sandbur","Cenchrus spinifex","29"
"European common reed, Phragmites","Phragmites australis ssp. australis","29"
"yellow starthistle","Centaurea solstitialis","29"
"water speedwell","Veronica anagallis-aquatica","29"
"mouse barley","Hordeum murinum","29"
"London rocket","Sisymbrium irio","29"
"chicory","Cichorium intybus","28"
"stinging nettle","Urtica dioica","28"
"white pine blister rust","Cronartium ribicola","27"
"paradise poinciana","Caesalpinia gilliesii","27"
"smooth barley","Hordeum murinum ssp. glaucum","27"
"swainsonpea","Sphaerophysa salsula","27"
"Armillaria root rots","Armillaria spp.","27"
"multicolored Asian lady beetle","Harmonia axyridis","27"
"wild licorice","Glycyrrhiza lepidota","26"
"alfalfa","Medicago sativa ssp. sativa","26"
"alsike clover","Trifolium hybridum","26"
"poison hemlock","Conium maculatum","25"
"annual bluegrass","Poa annua","25"
"common salsify","Tragopogon porrifolius","25"
"wild buckwheat","Fallopia convolvulus","24"
"large crabgrass","Digitaria sanguinalis","23"
"Heterobasidion root rots","Heterobasidion spp.","23"
"Lehmann lovegrass","Eragrostis lehmanniana","22"
"large aspen tortrix","Choristoneura conflictana","22"
"thousand cankers disease","Geosmithia morbida","21"
"swordleaf rush","Juncus ensifolius","21"
"slender snakecotton","Froelichia gracilis","21"
"ladysthumb","Persicaria maculosa","20"
"plumeless thistle","Carduus","20"
"spiny cocklebur","Xanthium spinosum","20"
"spotted spurge","Euphorbia maculata","20"
"red fescue","Festuca rubra","20"
"smallflower galinsoga","Galinsoga parviflora","20"
"wavyleaf thistle","Cirsium undulatum","20"
"red brome","Bromus rubens","19"
"wild oat","Avena fatua","19"
"camelthorn","Alhagi maurorum","19"
