"Common Name","Scientific Name","Number of Records"
"tree-of-heaven","Ailanthus altissima","11,569"
"multiflora rose","Rosa multiflora","4,837"
"Japanese stiltgrass","Microstegium vimineum","2,498"
"Japanese honeysuckle","Lonicera japonica","2,419"
"garlic mustard","Alliaria petiolata","1,825"
"autumn olive","Elaeagnus umbellata","1,562"
"Amur honeysuckle","Lonicera maackii","878"
"multicolored Asian lady beetle","Harmonia axyridis","754"
"Japanese barberry","Berberis thunbergii","750"
"large aspen tortrix","Choristoneura conflictana","747"
"Japanese beetle","Popillia japonica","679"
"oak wilt","Bretziella fagacearum","665"
"princesstree","Paulownia tomentosa","656"
"spongy moth (formerly gypsy moth)","Lymantria dispar","619"
"red clover","Trifolium pratense","597"
"white pine blister rust","Cronartium ribicola","596"
"emerald ash borer","Agrilus planipennis","487"
"corn earworm, tomato fruitworm","Helicoverpa zea","477"
"white clover","Trifolium repens","465"
"reed canarygrass","Phalaris arundinacea","450"
"ground ivy","Glechoma hederacea","417"
"purple loosestrife","Lythrum salicaria","409"
"purple crown-vetch","Securigera varia","405"
"Queen Anne's lace, wild carrot","Daucus carota","315"
"bush honeysuckles (exotic)","Lonicera spp.","313"
"Canada thistle","Cirsium arvense","305"
"bittersweet nightshade","Solanum dulcamara","293"
"creeping yellow loosestrife, creeping Jenny","Lysimachia nummularia","285"
"buckhorn plantain","Plantago lanceolata","270"
"eastern poison-ivy","Toxicodendron radicans","258"
"European privet","Ligustrum vulgare","257"
"chicory","Cichorium intybus","251"
"cucurbit downy mildew","Pseudoperonospora cubensis","249"
"Japanese knotweed","Reynoutria japonica","238"
"dandelion","Taraxacum officinale","237"
"ladysthumb","Persicaria maculosa","232"
"common pokeweed","Phytolacca americana","231"
"common teasel","Dipsacus fullonum","229"
"black locust","Robinia pseudoacacia","226"
"common selfheal","Prunella vulgaris","226"
"yellow sweet-clover","Melilotus officinalis","225"
"common mullein","Verbascum thapsus","223"
"moth mullein","Verbascum blattaria","223"
"Eurasian watermilfoil","Myriophyllum spicatum","214"
"brown marmorated stink bug","Halyomorpha halys","214"
"dames rocket","Hesperis matronalis","211"
"osage-orange","Maclura pomifera","210"
"purple deadnettle","Lamium purpureum","210"
"Morrow's honeysuckle","Lonicera morrowii","209"
"white mulberry","Morus alba","208"
"spearmint","Mentha spicata","208"
"poison hemlock","Conium maculatum","206"
"spotted spurge","Euphorbia maculata","202"
"yellow woodsorrel","Oxalis stricta","198"
"henbit","Lamium amplexicaule","197"
"wild buckwheat","Fallopia convolvulus","194"
"big chickweed","Cerastium fontanum ssp. vulgare","192"
"yellow rocket","Barbarea vulgaris","190"
"oxeye daisy","Leucanthemum vulgare","190"
"yellow toadflax","Linaria vulgaris","188"
"common periwinkle","Vinca minor","185"
"birdsfoot trefoil","Lotus corniculatus","183"
"mugwort","Artemisia vulgaris","179"
"thymeleaf speedwell","Veronica serpyllifolia","179"
"wild parsnip","Pastinaca sativa","179"
"butternut canker","Ophiognomonia clavigignenti-juglandacearum","176"
"paradise apple","Malus pumila","176"
"coltsfoot","Tussilago farfara","175"
"Deptford pink","Dianthus armeria","175"
"black cutworm","Agrotis ipsilon","175"
"round leaf bittersweet","Celastrus orbiculatus","174"
"common pear","Pyrus communis","171"
"Virginia pepperweed","Lepidium virginicum","171"
"corn speedwell","Veronica arvensis","170"
"shepherd's-purse","Capsella bursa-pastoris","170"
"watercress","Nasturtium officinale","170"
"bull thistle","Cirsium vulgare","168"
"black medic","Medicago lupulina","167"
"white poplar","Populus alba","166"
"hairy vetch","Vicia villosa","166"
"lambsquarters","Chenopodium album","165"
"catnip","Nepeta cataria","164"
"curly dock","Rumex crispus","164"
"motherwort","Leonurus cardiaca","164"
"American bullfrog","Lithobates catesbeianus","163"
"common chickweed","Stellaria pallida","163"
"common St. Johnswort","Hypericum perforatum","162"
"brittleleaf naiad","Najas minor","162"
"common yarrow","Achillea millefolium","161"
"bouncingbet","Saponaria officinalis","161"
"red sorrel","Rumex acetosella","161"
"stinking chamomile","Anthemis cotula","159"
"Canadian horseweed","Erigeron canadensis","158"
"common chickweed","Stellaria media","157"
"southern pine beetle","Dendroctonus frontalis","153"
"American burnweed","Erechtites hieraciifolius","153"
"curly dock","Rumex crispus ssp. crispus","153"
"waterpurslane","Ludwigia palustris","152"
"sulfur cinquefoil","Potentilla recta","151"
"jimsonweed","Datura stramonium","151"
"hedge mustard","Sisymbrium officinale","150"
"privet","Ligustrum spp.","149"
"velvetleaf","Abutilon theophrasti","149"
"black mustard","Brassica nigra","147"
"perennial sowthistle","Sonchus arvensis","147"
"northern catalpa","Catalpa speciosa","145"
