"Common Name","Scientific Name","Number of Records"
"sericea lespedeza","Lespedeza cuneata","1,266"
"Japanese honeysuckle","Lonicera japonica","1,228"
"rose","Rosa spp.","844"
"pig (feral), wild boar at large","Sus scrofa (feral type)","665"
"Heterobasidion root rots","Heterobasidion spp.","652"
"rose rosette disease (RRD)","Emaravirus RRD","651"
"henbit","Lamium amplexicaule","582"
"eastern redcedar","Juniperus virginiana","576"
"privet","Ligustrum spp.","562"
"white clover","Trifolium repens","519"
"johnsongrass","Sorghum halepense","449"
"Chinese privet","Ligustrum sinense","352"
"common vetch","Vicia sativa","317"
"common mullein","Verbascum thapsus","305"
"Amur honeysuckle","Lonicera maackii","290"
"purple deadnettle","Lamium purpureum","273"
"yellow sweet-clover","Melilotus officinalis","265"
"shepherd's-purse","Capsella bursa-pastoris","264"
"field madder","Sherardia arvensis","258"
"multicolored Asian lady beetle","Harmonia axyridis","251"
"field bindweed","Convolvulus arvensis","217"
"mimosa","Albizia julibrissin","211"
"hairy vetch","Vicia villosa","202"
"white mulberry","Morus alba","186"
"curly dock","Rumex crispus","186"
"musk thistle, nodding thistle","Carduus nutans","174"
"redstem filaree","Erodium cicutarium","171"
"dandelion","Taraxacum officinale","169"
"star-of-Bethlehem","Ornithogalum umbellatum","168"
"Callery pear (Bradford pear)","Pyrus calleryana","167"
"hairy bush clovers","Lespedeza","165"
"shrubby lespedeza","Lespedeza bicolor","164"
"sugarcane aphid","Melanaphis sacchari","162"
"tall fescue","Festuca arundinacea","156"
"common chickweed","Stellaria media","152"
"bermudagrass","Cynodon dactylon","146"
"cheatgrass, downy brome","Bromus tectorum","142"
"prickly lettuce","Lactuca serriola","139"
"spiny sowthistle","Sonchus asper","135"
"pecan nut casebearer","Acrobasis nuxvorella","132"
"buckhorn plantain","Plantago lanceolata","130"
"false strawberry","Potentilla indica","128"
"yellow bluestem","Bothriochloa ischaemum","127"
"perilla mint","Perilla frutescens","126"
"lambsquarters","Chenopodium album","126"
"multiflora rose","Rosa multiflora","124"
"spotted spurge","Euphorbia maculata","122"
"oak wilt","Bretziella fagacearum","122"
"cutleaf evening-primrose","Oenothera laciniata","121"
"watercress","Nasturtium officinale","116"
