"Common Name","Scientific Name","Number of Records"
"corn earworm, tomato fruitworm","Helicoverpa zea","4,764"
"European Corn Borer","Ostrinia nubilalis New York (Z) strain","2,922"
"European corn borer","Ostrinia nubilalis","2,894"
"garlic mustard","Alliaria petiolata","2,343"
"European Corn Borer","Ostrinia nubilalis Iowa (E) strain","2,328"
"fall armyworm","Spodoptera frugiperda","2,171"
"multiflora rose","Rosa multiflora","1,894"
"Japanese barberry","Berberis thunbergii","1,100"
"Japanese stiltgrass","Microstegium vimineum","1,030"
"Japanese knotweed","Reynoutria japonica","843"
"multicolored Asian lady beetle","Harmonia axyridis","824"
"mugwort","Artemisia vulgaris","697"
"Japanese beetle","Popillia japonica","653"
"spongy moth (formerly gypsy moth)","Lymantria dispar","641"
"white clover","Trifolium repens","640"
"white pine blister rust","Cronartium ribicola","631"
"brown marmorated stink bug","Halyomorpha halys","590"
"large aspen tortrix","Choristoneura conflictana","580"
"western bean cutworm","Striacosta albicosta","552"
"hemlock woolly adelgid","Adelges tsugae","508"
"red clover","Trifolium pratense","490"
"southern pine beetle","Dendroctonus frontalis","419"
"round leaf bittersweet","Celastrus orbiculatus","403"
"Japanese honeysuckle","Lonicera japonica","390"
"watercress","Nasturtium officinale","385"
"bush honeysuckles (exotic)","Lonicera spp.","377"
"European common reed, Phragmites","Phragmites australis ssp. australis","355"
"bull thistle","Cirsium vulgare","354"
"buckhorn plantain","Plantago lanceolata","347"
"mile-a-minute vine, Asiatic tearthumb","Persicaria perfoliata","329"
"tree-of-heaven","Ailanthus altissima","324"
"true forget-me-not","Myosotis scorpioides","309"
"Canada thistle","Cirsium arvense","308"
"reed canarygrass","Phalaris arundinacea","301"
"purple loosestrife","Lythrum salicaria","298"
"emerald ash borer","Agrilus planipennis","281"
"wine raspberry","Rubus phoenicolasius","279"
"purple crown-vetch","Securigera varia","266"
"autumn olive","Elaeagnus umbellata","265"
"coltsfoot","Tussilago farfara","265"
"curly leaf pondweed","Potamogeton crispus","259"
"common chickweed","Stellaria media","249"
"oak wilt","Bretziella fagacearum","241"
"bittersweet nightshade","Solanum dulcamara","237"
"Morrow's honeysuckle","Lonicera morrowii","226"
"Eurasian watermilfoil","Myriophyllum spicatum","225"
"dames rocket","Hesperis matronalis","223"
"cucurbit downy mildew","Pseudoperonospora cubensis","222"
"henbit","Lamium amplexicaule","214"
"Queen Anne's lace, wild carrot","Daucus carota","208"
"spotted spurge","Euphorbia maculata","205"
"ground ivy","Glechoma hederacea","202"
"redtop","Agrostis gigantea","201"
"big chickweed","Cerastium fontanum ssp. vulgare","198"
"creeping yellow loosestrife, creeping Jenny","Lysimachia nummularia","197"
