"Common Name","Scientific Name","Number of Records"
"Japanese honeysuckle","Lonicera japonica","9,190"
"privet","Ligustrum spp.","3,537"
"Japanese climbing fern","Lygodium japonicum","3,393"
"sericea lespedeza","Lespedeza cuneata","2,201"
"corn earworm, tomato fruitworm","Helicoverpa zea","1,461"
"Chinese privet","Ligustrum sinense","1,080"
"Japanese stiltgrass","Microstegium vimineum","1,025"
"slider","Trachemys scripta","1,004"
"Chinese tallowtree","Triadica sebifera","721"
"gray mold","Botrytis cinerea","640"
"chinaberry","Melia azedarach","571"
"mimosa","Albizia julibrissin","558"
"autumn olive","Elaeagnus umbellata","481"
"Chinese wisteria","Wisteria sinensis","424"
"pig (feral), wild boar at large","Sus scrofa (feral type)","423"
"southern pine beetle","Dendroctonus frontalis","415"
"Heterobasidion root rots","Heterobasidion spp.","410"
"shrubby lespedeza","Lespedeza bicolor","358"
"hairy bush clovers","Lespedeza","350"
"multicolored Asian lady beetle","Harmonia axyridis","308"
"kudzu","Pueraria montana var. lobata","299"
"thorny olive","Elaeagnus pungens","292"
"Mediterranean gecko","Hemidactylus turcicus","252"
"spotted-wing drosophila","Drosophila suzukii","250"
"beach vitex","Vitex rotundifolia","245"
"cucurbit downy mildew","Pseudoperonospora cubensis","227"
"rose","Rosa spp.","226"
"tree-of-heaven","Ailanthus altissima","224"
"wisterias","Wisteria spp.","216"
"Japanese privet","Ligustrum japonicum","201"
"tall fescue","Festuca arundinacea","200"
"white clover","Trifolium repens","186"
"henbit","Lamium amplexicaule","167"
"perennial ryegrass","Lolium perenne","159"
"johnsongrass","Sorghum halepense","154"
"Chinese silvergrass","Miscanthus sinensis","133"
"laurel wilt","Raffaelea lauricola","132"
"fall armyworm","Spodoptera frugiperda","127"
"dallisgrass","Paspalum dilatatum","125"
"sacred bamboo","Nandina domestica","124"
"Joro spider","Trichonephila clavata","119"
"Queen Anne's lace, wild carrot","Daucus carota","118"
"Callery pear (Bradford pear)","Pyrus calleryana","116"
"spotted spurge","Euphorbia maculata","110"
"multiflora rose","Rosa multiflora","106"
"vaseygrass","Paspalum urvillei","105"
"buckhorn plantain","Plantago lanceolata","104"
"yellowbelly slider","Trachemys scripta scripta","104"
"bahiagrass","Paspalum notatum","103"
"kudzu","Pueraria montana","99"
"common vetch","Vicia sativa","98"
"hairy vetch","Vicia villosa","93"
"Virginia pepperweed","Lepidium virginicum","92"
"big periwinkle","Vinca major","90"
"Canadian horseweed","Erigeron canadensis","89"
"large crabgrass","Digitaria sanguinalis","88"
"showy rattlebox","Crotalaria spectabilis","88"
"curly dock","Rumex crispus","87"
"alligatorweed","Alternanthera philoxeroides","86"
"eastern redcedar","Juniperus virginiana","86"
"brown anole","Anolis sagrei","86"
"curly dock","Rumex crispus ssp. crispus","86"
"shovel-headed garden worm","Bipalium kewense","85"
"bermudagrass","Cynodon dactylon","85"
"common chickweed","Stellaria pallida","84"
"broomsedge bluestem","Andropogon virginicus","84"
"cutleaf evening-primrose","Oenothera laciniata","84"
"goosegrass","Eleusine indica","84"
"American burnweed","Erechtites hieraciifolius","84"
"spiny sowthistle","Sonchus asper","83"
"shepherd's-purse","Capsella bursa-pastoris","80"
"common selfheal","Prunella vulgaris","79"
"annual bluegrass","Poa annua","79"
"trifoliate orange","Citrus trifoliata","79"
"common cocklebur","Xanthium strumarium","79"
"purple cudweed","Gamochaeta purpurea","79"
"marsh dayflower","Murdannia keisak","78"
"kudzu bug","Megacopta cribraria","77"
"common mullein","Verbascum thapsus","77"
"oak wilt","Bretziella fagacearum","77"
"waterpurslane","Ludwigia palustris","77"
"rabbitfoot clover","Trifolium arvense","77"
"red clover","Trifolium pratense","76"
"Japanese clover","Kummerowia striata","75"
"tall lettuce","Lactuca canadensis","75"
"mexicantea","Dysphania ambrosioides","75"
"knotroot foxtail","Setaria parviflora","75"
"dotted smartweed","Persicaria punctata","74"
"corn speedwell","Veronica arvensis","73"
"spiny amaranth","Amaranthus spinosus","73"
"wild radish","Raphanus raphanistrum","71"
"rescuegrass","Bromus catharticus","71"
"red-eared slider","Trachemys scripta elegans","70"
"wild garlic","Allium vineale","70"
"giant reed","Arundo donax","70"
"eclipta","Eclipta prostrata","70"
"highbush blackberry","Rubus argutus","70"
"sicklepod","Senna obtusifolia","69"
"barnyardgrass","Echinochloa crus-galli","69"
"Asiatic dayflower","Commelina communis","69"
"spanishneedles","Bidens bipinnata","68"
"red sesbania","Sesbania punicea","68"
"ivyleaf morning-glory","Ipomoea hederacea","67"
"false strawberry","Potentilla indica","67"
"lambsquarters","Chenopodium album","66"
"purple nutsedge","Cyperus rotundus","65"
"smutgrass","Sporobolus indicus","63"
"lesser swinecress","Coronopus didymus","63"
"oxeye daisy","Leucanthemum vulgare","63"
"paper-mulberry","Broussonetia papyrifera","63"
"fire ants","Solenopsis spp.","63"
"English ivy","Hedera helix","63"
"common pokeweed","Phytolacca americana","62"
"small hop clover","Trifolium dubium","61"
"Elaeagnus","Elaeagnus spp.","61"
"common chickweed","Stellaria media","61"
"tawny daylily","Hemerocallis fulva","60"
"Brazilian vervain","Verbena incompta","60"
"bush honeysuckles (exotic)","Lonicera spp.","58"
"large hop clover","Trifolium campestre","58"
"cornflower","Centaurea cyanus","57"
