"Common Name","Scientific Name","Number of Records"
"Japanese honeysuckle","Lonicera japonica","12,277"
"Japanese stiltgrass","Microstegium vimineum","5,731"
"privet","Ligustrum spp.","4,326"
"rose","Rosa spp.","2,096"
"sericea lespedeza","Lespedeza cuneata","2,023"
"tree-of-heaven","Ailanthus altissima","1,988"
"mimosa","Albizia julibrissin","1,302"
"multiflora rose","Rosa multiflora","1,293"
"sawtooth oak","Quercus acutissima","1,138"
"shrubby lespedeza","Lespedeza bicolor","993"
"hairy bush clovers","Lespedeza","951"
"corn earworm, tomato fruitworm","Helicoverpa zea","873"
"Heterobasidion root rots","Heterobasidion spp.","832"
"bush honeysuckles (exotic)","Lonicera spp.","816"
"autumn olive","Elaeagnus umbellata","812"
"kudzu","Pueraria montana var. lobata","741"
"white clover","Trifolium repens","625"
"princesstree","Paulownia tomentosa","620"
"southern pine beetle","Dendroctonus frontalis","620"
"tall fescue","Festuca arundinacea","532"
"Callery pear (Bradford pear)","Pyrus calleryana","526"
"Japanese privet","Ligustrum japonicum","522"
"pig (feral), wild boar at large","Sus scrofa (feral type)","488"
"round leaf bittersweet","Celastrus orbiculatus","484"
"johnsongrass","Sorghum halepense","468"
"common mullein","Verbascum thapsus","435"
"henbit","Lamium amplexicaule","428"
"common periwinkle","Vinca minor","422"
"multicolored Asian lady beetle","Harmonia axyridis","397"
"English ivy","Hedera helix","361"
"Japanese beetle","Popillia japonica","328"
"garlic mustard","Alliaria petiolata","327"
"European privet","Ligustrum vulgare","317"
"winter creeper","Euonymus fortunei","308"
"red clover","Trifolium pratense","305"
"Chinese privet","Ligustrum sinense","272"
"rose rosette disease (RRD)","Emaravirus RRD","257"
"purple crown-vetch","Securigera varia","253"
"Chinese yam","Dioscorea polystachya","246"
"musk thistle, nodding thistle","Carduus nutans","245"
"hemlock woolly adelgid","Adelges tsugae","240"
"periwinkle","Vinca","232"
"buckhorn plantain","Plantago lanceolata","225"
"oak wilt","Bretziella fagacearum","215"
"Amur honeysuckle","Lonicera maackii","194"
"eastern redcedar","Juniperus virginiana","190"
"emerald ash borer","Agrilus planipennis","177"
"sacred bamboo","Nandina domestica","175"
"watercress","Nasturtium officinale","169"
"hairy vetch","Vicia villosa","167"
"brown marmorated stink bug","Halyomorpha halys","161"
"common selfheal","Prunella vulgaris","160"
"butternut canker","Ophiognomonia clavigignenti-juglandacearum","156"
"yellow woodsorrel","Oxalis stricta","153"
"purple loosestrife","Lythrum salicaria","142"
"Japanese knotweed","Reynoutria japonica","138"
"non-native yams","Dioscorea spp. (non-native)","137"
"small carpetgrass, joint-head grass","Arthraxon hispidus","135"
"perennial ryegrass","Lolium perenne","134"
"common chickweed","Stellaria media","133"
"spotted spurge","Euphorbia maculata","132"
"waterpurslane","Ludwigia palustris","129"
"Virginia pepperweed","Lepidium virginicum","129"
"Queen Anne's lace, wild carrot","Daucus carota","127"
"fescue","Festuca spp.","127"
"dotted smartweed","Persicaria punctata","126"
"oxeye daisy","Leucanthemum vulgare","126"
"yellow sweet-clover","Melilotus officinalis","126"
"ground ivy","Glechoma hederacea","124"
"bald brome","Bromus racemosus","121"
"perilla mint","Perilla frutescens","120"
"dandelion","Taraxacum officinale","119"
"Japanese barberry","Berberis thunbergii","119"
"dogwood anthracnose","Discula destructiva","118"
"purple deadnettle","Lamium purpureum","117"
"kudzu bug","Megacopta cribraria","114"
"Oriental lady's thumb","Polygonum posumbu","113"
"eastern poison-ivy","Toxicodendron radicans","113"
"highbush blackberry","Rubus argutus","113"
"black locust","Robinia pseudoacacia","112"
"large hop clover","Trifolium campestre","111"
"big chickweed","Cerastium fontanum ssp. vulgare","110"
"corn speedwell","Veronica arvensis","109"
"American burnweed","Erechtites hieraciifolius","108"
"spring whitlowgrass","Draba verna","108"
"white pine blister rust","Cronartium ribicola","107"
"Deptford pink","Dianthus armeria","107"
"false strawberry","Potentilla indica","105"
"common chickweed","Stellaria pallida","104"
"wisterias","Wisteria spp.","104"
"cheatgrass, downy brome","Bromus tectorum","103"
"bamboo","Bambusa","102"
"common pokeweed","Phytolacca americana","102"
"ladysthumb","Persicaria maculosa","101"
"Asiatic dayflower","Commelina communis","100"
"barnyardgrass","Echinochloa crus-galli","100"
"red sorrel","Rumex acetosella","99"
"sensitive partridgepea","Chamaecrista nictitans","98"
"knotroot foxtail","Setaria parviflora","97"
"eclipta","Eclipta prostrata","97"
"Japanese spiraea","Spiraea japonica","96"
"Chinese silvergrass","Miscanthus sinensis","94"
"broomsedge bluestem","Andropogon virginicus","93"
"Japanese wisteria","Wisteria floribunda","93"
"giant foxtail","Setaria faberi","93"
"orchardgrass","Dactylis glomerata","93"
"Kentucky bluegrass","Poa pratensis","93"
"chestnut blight or canker","Cryphonectria parasitica","92"
"annual bluegrass","Poa annua","92"
"common vetch","Vicia sativa","92"
