"Common Name","Scientific Name","Number of Records"
"Chinese tallowtree","Triadica sebifera","10,897"
"Japanese honeysuckle","Lonicera japonica","8,045"
"chinaberry","Melia azedarach","7,066"
"Japanese climbing fern","Lygodium japonicum","5,167"
"mimosa","Albizia julibrissin","4,254"
"multicolored Asian lady beetle","Harmonia axyridis","4,061"
"Mediterranean gecko","Hemidactylus turcicus","3,899"
"brown anole","Anolis sagrei","3,129"
"glossy privet","Ligustrum lucidum","2,890"
"johnsongrass","Sorghum halepense","2,885"
"giant reed","Arundo donax","2,840"
"sacred bamboo","Nandina domestica","2,454"
"pig (feral), wild boar at large","Sus scrofa (feral type)","2,425"
"field madder","Sherardia arvensis","2,334"
"Heterobasidion root rots","Heterobasidion spp.","2,233"
"red-eared slider","Trachemys scripta elegans","2,229"
"Chinese privet","Ligustrum sinense","2,196"
"henbit","Lamium amplexicaule","2,066"
"privet","Ligustrum spp.","1,904"
"sugarcane aphid","Melanaphis sacchari","1,856"
"white clover","Trifolium repens","1,606"
"corn earworm, tomato fruitworm","Helicoverpa zea","1,498"
"common mullein","Verbascum thapsus","1,488"
"bermudagrass","Cynodon dactylon","1,102"
"pecan nut casebearer","Acrobasis nuxvorella","1,056"
"fall armyworm","Spodoptera frugiperda","1,023"
"yellow bluestem","Bothriochloa ischaemum","987"
"rose rosette disease (RRD)","Emaravirus RRD","869"
"waxyleaf privet","Ligustrum quihoui","856"
"American bullfrog","Lithobates catesbeianus","848"
"eastern redcedar","Juniperus virginiana","835"
"eastern poison-ivy","Toxicodendron radicans","832"
"common chickweed","Stellaria media","786"
"coyote","Canis latrans","765"
"pecan weevil","Curculio caryae","756"
"tree-of-heaven","Ailanthus altissima","755"
"turnipweed","Rapistrum rugosum","753"
"Texas lupine","Lupinus texensis","748"
"silverleaf nightshade","Solanum elaeagnifolium","739"
"Callery pear (Bradford pear)","Pyrus calleryana","652"
"spotted spurge","Euphorbia maculata","638"
"oak wilt","Bretziella fagacearum","619"
"sericea lespedeza","Lespedeza cuneata","617"
"dallisgrass","Paspalum dilatatum","612"
"hairy vetch","Vicia villosa","570"
"spreading hedgeparsley","Torilis arvensis","568"
"bahiagrass","Paspalum notatum","550"
"dandelion","Taraxacum officinale","538"
"common purslane","Portulaca oleracea","512"
"crimson clover","Trifolium incarnatum","464"
"southern pine beetle","Dendroctonus frontalis","464"
"osage-orange","Maclura pomifera","461"
"golden bamboo","Phyllostachys aurea","446"
"giant ragweed","Ambrosia trifida","442"
"Japanese privet","Ligustrum japonicum","430"
"common cocklebur","Xanthium strumarium","422"
"redstem filaree","Erodium cicutarium","408"
"vaseygrass","Paspalum urvillei","404"
"field brome","Bromus arvensis","396"
"common pokeweed","Phytolacca americana","396"
"sticky chickweed","Cerastium glomeratum","394"
"largeleaf lantana","Lantana camara","392"
"Canadian horseweed","Erigeron canadensis","371"
"rescuegrass","Bromus catharticus","370"
"toothed spurge","Euphorbia dentata","358"
"cutleaf evening-primrose","Oenothera laciniata","354"
"shovel-headed garden worm","Bipalium kewense","351"
"crownbeard","Verbesina encelioides","341"
"scarlet pimpernel","Anagallis arvensis","328"
"Virginia pepperweed","Lepidium virginicum","325"
"spiny sowthistle","Sonchus asper","323"
"curly dock","Rumex crispus","298"
"catclaw-vine","Macfadyena unguis-cati","284"
