"Common Name","Scientific Name","Number of Records"
"Japanese honeysuckle","Lonicera japonica","10,320"
"rose","Rosa spp.","3,014"
"tree-of-heaven","Ailanthus altissima","2,613"
"Japanese stiltgrass","Microstegium vimineum","2,497"
"garlic mustard","Alliaria petiolata","1,911"
"wavyleaf basketgrass","Oplismenus undulatifolius","1,531"
"autumn olive","Elaeagnus umbellata","1,386"
"bush honeysuckles (exotic)","Lonicera spp.","1,383"
"privet","Ligustrum spp.","1,327"
"Heterobasidion root rots","Heterobasidion spp.","1,237"
"southern pine beetle","Dendroctonus frontalis","1,215"
"spongy moth (formerly gypsy moth)","Lymantria dispar","1,164"
"corn earworm, tomato fruitworm","Helicoverpa zea","1,101"
"English ivy","Hedera helix","1,035"
"round leaf bittersweet","Celastrus orbiculatus","1,019"
"multicolored Asian lady beetle","Harmonia axyridis","986"
"tall fescue","Festuca arundinacea","842"
"white clover","Trifolium repens","840"
"Japanese beetle","Popillia japonica","731"
"winged burning bush","Euonymus alatus","704"
"sericea lespedeza","Lespedeza cuneata","662"
"hemlock woolly adelgid","Adelges tsugae","659"
"multiflora rose","Rosa multiflora","651"
"red clover","Trifolium pratense","624"
"Japanese barberry","Berberis thunbergii","596"
"henbit","Lamium amplexicaule","548"
"princesstree","Paulownia tomentosa","514"
"Callery pear (Bradford pear)","Pyrus calleryana","514"
"buckhorn plantain","Plantago lanceolata","468"
"mugwort","Artemisia vulgaris","420"
"Elaeagnus","Elaeagnus spp.","405"
"wine raspberry","Rubus phoenicolasius","402"
"Oriental lady's thumb","Persicaria longiseta","391"
"mimosa","Albizia julibrissin","364"
"kudzu","Pueraria montana var. lobata","357"
"spotted spurge","Euphorbia maculata","351"
"Chinese wisteria","Wisteria sinensis","335"
"Asiatic hawksbeard","Youngia japonica","328"
"common chickweed","Stellaria media","319"
"periwinkle","Vinca","312"
"brown marmorated stink bug","Halyomorpha halys","308"
"white pine blister rust","Cronartium ribicola","302"
"shrubby lespedeza","Lespedeza bicolor","296"
"gray mold","Botrytis cinerea","290"
"mile-a-minute vine, Asiatic tearthumb","Persicaria perfoliata","289"
"ground ivy","Glechoma hederacea","281"
"incised fumewort","Corydalis incisa","276"
"oak wilt","Bretziella fagacearum","269"
"dandelion","Taraxacum officinale","266"
"eastern redcedar","Juniperus virginiana","265"
"chicory","Cichorium intybus","264"
"Japanese knotweed","Reynoutria japonica","260"
"fall armyworm","Spodoptera frugiperda","258"
"common mullein","Verbascum thapsus","256"
"lesser celandine, fig buttercup","Ficaria verna","256"
"purple deadnettle","Lamium purpureum","253"
"Queen Anne's lace, wild carrot","Daucus carota","249"
"big chickweed","Cerastium fontanum ssp. vulgare","247"
"common selfheal","Prunella vulgaris","243"
"black locust","Robinia pseudoacacia","241"
"Asiatic dayflower","Commelina communis","235"
"hairy vetch","Vicia villosa","234"
"hairy bush clovers","Lespedeza","234"
"Chinese privet","Ligustrum sinense","232"
"common pokeweed","Phytolacca americana","227"
"common periwinkle","Vinca minor","222"
"eastern poison-ivy","Toxicodendron radicans","218"
"oxeye daisy","Leucanthemum vulgare","215"
"lambsquarters","Chenopodium album","211"
"emerald ash borer","Agrilus planipennis","210"
"common chickweed","Stellaria pallida","207"
"tall lettuce","Lactuca canadensis","207"
"yellow sweet-clover","Melilotus officinalis","207"
"false strawberry","Potentilla indica","204"
"red sorrel","Rumex acetosella","203"
"Virginia pepperweed","Lepidium virginicum","202"
"Deptford pink","Dianthus armeria","202"
"sweet autumn virginsbower","Clematis terniflora","202"
"perilla mint","Perilla frutescens","202"
"corn speedwell","Veronica arvensis","202"
"American burnweed","Erechtites hieraciifolius","201"
"moth mullein","Verbascum blattaria","200"
"bouncingbet","Saponaria officinalis","200"
"Canadian horseweed","Erigeron canadensis","200"
"barnyardgrass","Echinochloa crus-galli","198"
"prickly lettuce","Lactuca serriola","197"
"bulbous buttercup","Ranunculus bulbosus","196"
"goosegrass","Eleusine indica","196"
"butternut canker","Ophiognomonia clavigignenti-juglandacearum","196"
"jimsonweed","Datura stramonium","195"
"kudzu bug","Megacopta cribraria","194"
"orchardgrass","Dactylis glomerata","194"
"large hop clover","Trifolium campestre","193"
"large crabgrass","Digitaria sanguinalis","193"
"spanishneedles","Bidens bipinnata","193"
"Japanese pachysandra","Pachysandra terminalis","191"
"common cocklebur","Xanthium strumarium","190"
"common mouse-ear chickweed","Cerastium fontanum","190"
"purple crown-vetch","Securigera varia","190"
"burningbush","Euonymus atropurpureus","189"
"shepherd's-purse","Capsella bursa-pastoris","189"
"ladysthumb","Persicaria maculosa","188"
"wild garlic","Allium vineale","188"
"johnsongrass","Sorghum halepense","188"
"thymeleaf sandwort","Arenaria serpyllifolia","186"
"curly dock","Rumex crispus","186"
"tawny daylily","Hemerocallis fulva","185"
"sulfur cinquefoil","Potentilla recta","184"
"common purslane","Portulaca oleracea","184"
"dotted smartweed","Persicaria punctata","184"
"common vetch","Vicia sativa","184"
"black medic","Medicago lupulina","183"
"annual bluegrass","Poa annua","183"
"white poplar","Populus alba","182"
"sweet vernalgrass","Anthoxanthum odoratum","182"
"mexicantea","Dysphania ambrosioides","182"
"everlasting peavine","Lathyrus latifolius","180"
"spotted knapweed","Centaurea stoebe ssp. micranthos","180"
"waterpurslane","Ludwigia palustris","179"
"white mulberry","Morus alba","179"
"curly dock","Rumex crispus ssp. crispus","178"
"rabbitfoot clover","Trifolium arvense","178"
"white campion","Silene latifolia","177"
"tall morning-glory","Ipomoea purpurea","176"
"common St. Johnswort","Hypericum perforatum","176"
"spiny sowthistle","Sonchus asper","176"
"common velvetgrass","Holcus lanatus","176"
"giant foxtail","Setaria faberi","175"
"bermudagrass","Cynodon dactylon","175"
"corn gromwell","Buglossoides arvensis","174"
"redtop","Agrostis gigantea","173"
"spring whitlowgrass","Draba verna","173"
"broomsedge bluestem","Andropogon virginicus","172"
"bull thistle","Cirsium vulgare","172"
"coltsfoot","Tussilago farfara","170"
"small carpetgrass, joint-head grass","Arthraxon hispidus","170"
"highbush blackberry","Rubus argutus","168"
"Korean lespedeza","Kummerowia stipulacea","167"
"yellow rocket","Barbarea vulgaris","166"
"perennial ryegrass","Lolium perenne","166"
"pitted morning-glory","Ipomoea lacunosa","166"
"Kentucky bluegrass","Poa pratensis","165"
"common yarrow","Achillea millefolium","164"
"purple cudweed","Gamochaeta purpurea","163"
"timothy","Phleum pratense","163"
"knotroot foxtail","Setaria parviflora","161"
"Canada bluegrass","Poa compressa","161"
"purple loosestrife","Lythrum salicaria","160"
"Oriental lady's thumb","Polygonum posumbu","159"
"hairy galinsoga","Galinsoga quadriradiata","159"
"bald brome","Bromus racemosus","158"
"eclipta","Eclipta prostrata","158"
"birdsrape mustard","Brassica rapa","157"
"common burdock, lesser burdock","Arctium minus","157"
"watercress","Nasturtium officinale","157"
"winter creeper","Euonymus fortunei","156"
"field brome","Bromus arvensis","156"
"creeping yellow loosestrife, creeping Jenny","Lysimachia nummularia","154"
"ivyleaf morning-glory","Ipomoea hederacea","153"
"green foxtail","Setaria viridis","153"
"green bristlegrass","Setaria viridis var. viridis","153"
"scarlet pimpernel","Anagallis arvensis","152"
"paper-mulberry","Broussonetia papyrifera","151"
"cheatgrass, downy brome","Bromus tectorum","150"
"ivyleaf speedwell","Veronica hederifolia","149"
"autumn olive","Elaeagnus umbellata var. parvifolia","149"
"common viper's bugloss, blueweed","Echium vulgare","149"
"northern catalpa","Catalpa speciosa","148"
"common mallow","Malva neglecta","148"
"Japanese clover","Kummerowia striata","148"
"star-of-Bethlehem","Ornithogalum umbellatum","146"
"meadow hawkweed","Hieracium caespitosum","145"
"rose rosette disease (RRD)","Emaravirus RRD","145"
"cutleaf evening-primrose","Oenothera laciniata","145"
"hairy cat's ear","Hypochaeris radicata","144"
"dogwood anthracnose","Discula destructiva","144"
"eastern white pine","Pinus strobus","143"
"stinkgrass","Eragrostis cilianensis","140"
"cypress spurge","Euphorbia cyparissias","137"
"alsike clover","Trifolium hybridum","137"
"poison hemlock","Conium maculatum","137"
"wild buckwheat","Fallopia convolvulus","136"
"Chinese yam","Dioscorea polystachya","136"
"tall oatgrass","Arrhenatherum elatius","135"
"yellow nutsedge","Cyperus esculentus","132"
"marsh dayflower","Murdannia keisak","132"
"yellow toadflax","Linaria vulgaris","131"
"Amur honeysuckle","Lonicera maackii","130"
"hedge mustard","Sisymbrium officinale","129"
"velvetleaf","Abutilon theophrasti","129"
"European common reed, Phragmites","Phragmites australis ssp. australis","129"
"Japanese privet","Ligustrum japonicum","128"
"field pennycress","Thlaspi arvense","127"
"field bindweed","Convolvulus arvensis","127"
"yellow woodsorrel","Oxalis stricta","127"
"leatherleaf mahonia","Mahonia bealei","126"
"American bullfrog","Lithobates catesbeianus","126"
"paradise apple","Malus pumila","126"
"spiny amaranth","Amaranthus spinosus","126"
"pale yellow iris, yellow flag iris","Iris pseudacorus","122"
"cucurbit downy mildew","Pseudoperonospora cubensis","121"
"osage-orange","Maclura pomifera","120"
"thymeleaf speedwell","Veronica serpyllifolia","120"
"catchweed bedstraw","Galium aparine","120"
"cornflower","Centaurea cyanus","119"
"peppermint","Mentha x piperita","119"
"starch grape hyacinth","Muscari neglectum","118"
"common ragweed","Ambrosia artemisiifolia","118"
"bladder campion","Silene vulgaris","117"
"Chinese silvergrass","Miscanthus sinensis","115"
"musk thistle, nodding thistle","Carduus nutans","115"
"red morning-glory","Ipomoea coccinea","114"
"redstem filaree","Erodium cicutarium","113"
"western salsify","Tragopogon dubius","112"
"motherwort","Leonurus cardiaca","112"
"thoroughwort pennycress","Microthlaspi perfoliatum","111"
"sticky chickweed","Cerastium glomeratum","111"
"common teasel","Dipsacus fullonum","111"
"wisterias","Wisteria spp.","111"
"small hop clover","Trifolium dubium","110"
"hedge bindweed","Calystegia sepium","110"
"mouse-eared hawkweed","Pilosella officinarum","108"
"roughstalk bluegrass","Poa trivialis","108"
"prostrate knotweed","Polygonum aviculare","107"
"dames rocket","Hesperis matronalis","106"
"Scotch broom","Cytisus scoparius","105"
"field madder","Sherardia arvensis","104"
"Himalayan blackberry","Rubus armeniacus","103"
"water speedwell","Veronica anagallis-aquatica","103"
"reed canarygrass","Phalaris arundinacea","103"
"catnip","Nepeta cataria","102"
"sacred bamboo","Nandina domestica","101"
"rice flatsedge","Cyperus iria","101"
"common dandelion","Taraxacum officinale ssp. officinale","100"
"spotted waterhemlock","Cicuta maculata","99"
"hemp dogbane","Apocynum cannabinum","99"
"sensitive partridgepea","Chamaecrista nictitans","99"
"bristlegrass","Setaria spp.","99"
"rattail fescue","Vulpia myuros","98"
