"Common Name","Scientific Name","Number of Records"
"garlic mustard","Alliaria petiolata","6,062"
"Canada thistle","Cirsium arvense","5,857"
"bull thistle","Cirsium vulgare","5,757"
"tansy ragwort","Jacobaea vulgaris","5,689"
"diffuse knapweed","Centaurea diffusa","5,074"
"Scotch broom","Cytisus scoparius","4,474"
"spotted knapweed","Centaurea stoebe ssp. micranthos","3,861"
"common St. Johnswort","Hypericum perforatum","3,186"
"oxeye daisy","Leucanthemum vulgare","1,792"
"common yarrow","Achillea millefolium","1,748"
"herb-robert","Geranium robertianum","1,516"
"purple loosestrife","Lythrum salicaria","1,456"
"Japanese knotweed","Reynoutria japonica","1,418"
"reed canarygrass","Phalaris arundinacea","1,409"
"pale yellow iris, yellow flag iris","Iris pseudacorus","1,370"
"tree-of-heaven","Ailanthus altissima","1,366"
"Dalmatian toadflax","Linaria dalmatica","1,280"
"sulfur cinquefoil","Potentilla recta","1,239"
"cutleaf blackberry","Rubus laciniatus","1,234"
"meadow hawkweed","Hieracium caespitosum","1,154"
"Bohemian knotweed, Hybrid Japanese knotweed","Reynoutria x bohemica","1,146"
"hairy cat's ear","Hypochaeris radicata","1,097"
"rush skeletonweed","Chondrilla juncea","1,080"
"common tansy","Tanacetum vulgare","1,042"
"orange hawkweed","Pilosella aurantiaca","958"
"Himalayan blackberry","Rubus armeniacus","946"
"Russian knapweed","Rhaponticum repens","914"
"foxglove","Digitalis purpurea","903"
"common cordgrass","Spartina anglica","865"
"English holly","Ilex aquifolium","856"
"buckhorn plantain","Plantago lanceolata","841"
"meadow knapweed","Centaurea debeauxii","801"
"poison hemlock","Conium maculatum","681"
"Himalayan blackberry","Rubus bifrons","677"
"common hawkweed","Hieracium lachenalii","666"
"common teasel","Dipsacus fullonum","653"
"meadow knapweed","Centaurea x moncktonii","608"
"cheatgrass, downy brome","Bromus tectorum","607"
"houndstongue","Cynoglossum officinale","601"
"Mexican fireweed","Bassia scoparia","533"
"Scotch thistle","Onopordum acanthium","520"
"hawkweeds","Hieracium spp.","499"
"Queen Anne's lace, wild carrot","Daucus carota","489"
"potato tuber moth","Phthorimaea operculella","484"
"common mullein","Verbascum thapsus","458"
"Eurasian watermilfoil","Myriophyllum spicatum","455"
"saltcedar","Tamarix ramosissima","450"
"common reed","Phragmites australis","406"
"musk thistle, nodding thistle","Carduus nutans","376"
"flowering rush","Butomus umbellatus","376"
"hoary cress","Lepidium draba","353"
"white clover","Trifolium repens","336"
"Douglas-fir beetle","Dendroctonus pseudotsugae","325"
"brown marmorated stink bug","Halyomorpha halys","319"
"large aspen tortrix","Choristoneura conflictana","315"
"fir engraver","Scolytus ventralis","315"
"knapweeds","Centaurea","312"
"yellow starthistle","Centaurea solstitialis","312"
"multicolored Asian lady beetle","Harmonia axyridis","311"
"spiny plumeless thistle","Carduus acanthoides","306"
"perennial pepperweed","Lepidium latifolium","306"
"red clover","Trifolium pratense","305"
"English ivy","Hedera helix","302"
"mountain pine beetle","Dendroctonus ponderosae","302"
"Heterobasidion root rots","Heterobasidion spp.","281"
"creeping buttercup","Ranunculus repens","278"
"everlasting peavine","Lathyrus latifolius","274"
"spruce beetle","Dendroctonus rufipennis","258"
"Russian olive","Elaeagnus angustifolia","247"
"spotted-wing drosophila","Drosophila suzukii","243"
"brown knapweed","Centaurea jacea","241"
"","Choristoneura occidentalis","237"
"tumble mustard","Sisymbrium altissimum","236"
"garden loosestrife","Lysimachia vulgaris","229"
"black knapweed","Centaurea nigra","228"
"western pine beetle","Dendroctonus brevicomis","209"
"field bindweed","Convolvulus arvensis","207"
"mouse-eared hawkweed","Pilosella officinarum","206"
"alpine knapweed, Tyrol knapweed","Centaurea nigrescens","206"
"curly leaf pondweed","Potamogeton crispus","201"
"common velvetgrass","Holcus lanatus","191"
"absinth wormwood","Artemisia absinthium","182"
"camelthorn","Alhagi maurorum","181"
"yellow toadflax","Linaria vulgaris","180"
"white bryony","Bryonia alba","178"
"Brazilian waterweed, Brazilian elodea","Egeria densa","177"
"hydrilla","Hydrilla verticillata","170"
