"Common Name","Scientific Name","Number of Records"
"common tansy","Tanacetum vulgare","8,792"
"spotted knapweed","Centaurea stoebe ssp. micranthos","5,842"
"wild parsnip","Pastinaca sativa","5,816"
"Canada thistle","Cirsium arvense","5,720"
"garlic mustard","Alliaria petiolata","4,979"
"wild chervil","Anthriscus sylvestris","2,741"
"common buckthorn, European buckthorn","Rhamnus cathartica","2,643"
"purple loosestrife","Lythrum salicaria","2,558"
"bush honeysuckles (exotic)","Lonicera spp.","2,401"
"marsh thistle","Cirsium palustre","2,114"
"reed canarygrass","Phalaris arundinacea","1,945"
"western bean cutworm","Striacosta albicosta","1,774"
"Japanese barberry","Berberis thunbergii","1,769"
"bird cherry-oat aphid","Rhopalosiphum padi","1,648"
"bull thistle","Cirsium vulgare","1,589"
"teasel","Dipsacus","1,443"
"multiflora rose","Rosa multiflora","1,424"
"purple crown-vetch","Securigera varia","1,424"
"common reed","Phragmites australis","1,312"
"Japanese knotweed","Reynoutria japonica","1,274"
"Japanese hedge-parsley, erect hedgeparsley","Torilis japonica","1,057"
"showy fly honeysuckle, Bell's honeysuckle","Lonicera x bella","1,052"
"Eurasian watermilfoil","Myriophyllum spicatum","1,009"
"artichoke aphid","Capitophorus elaeagni","975"
"Morrow's honeysuckle","Lonicera morrowii","974"
"leafy spurge","Euphorbia esula","968"
"gall aphids","Pemphigus spp.","953"
"pea aphid","Acyrthosiphon pisum","903"
"spotted alfalfa aphid","Therioaphis trifolii","882"
"soybean aphid","Aphis glycines","864"
"glossy buckthorn","Frangula alnus","862"
"corn leaf aphid","Rhopalosiphum maidis","776"
"birdsfoot trefoil","Lotus corniculatus","759"
"dames rocket","Hesperis matronalis","748"
"autumn olive","Elaeagnus umbellata","708"
"turnip aphid","Lipaphis pseudobrassicae","698"
"curly leaf pondweed","Potamogeton crispus","693"
"English grain aphid","Sitobion avenae","659"
"waterlily aphid","Rhopalosiphum nymphaeae","633"
"aphid","Capitophorus hippophaes","619"
"white pine blister rust","Cronartium ribicola","618"
"corn earworm, tomato fruitworm","Helicoverpa zea","576"
"cowpea aphid","Aphis craccivora","544"
"large aspen tortrix","Choristoneura conflictana","541"
"black cutworm","Agrotis ipsilon","533"
"narrow-leaved cattail","Typha angustifolia","532"
"greenbug","Schizaphis graminum","527"
"common mullein","Verbascum thapsus","513"
"rice root aphid","Rhopalosiphum rufiabdominale","507"
"common valerian","Valeriana officinalis","505"
"aphid","Tetraneura spp.","486"
"oak wilt","Bretziella fagacearum","484"
"mealy plum aphid","Hyalopterus pruni","468"
"red clover","Trifolium pratense","457"
"Japanese beetle","Popillia japonica","423"
"black locust","Robinia pseudoacacia","411"
"common St. Johnswort","Hypericum perforatum","404"
"aphids","Chaitophorus spp.","402"
"jack pine budworm","Choristoneura pinus pinus","399"
"spongy moth (formerly gypsy moth)","Lymantria dispar","396"
"apple grain aphid","Rhopalosiphum oxyacanthae","381"
"yellow toadflax","Linaria vulgaris","379"
"true forget-me-not","Myosotis scorpioides","375"
"crack willow","Salix fragilis","373"
"buckthorn aphid","Aphis nasturtii","372"
"green peach aphid","Myzus persicae","364"
"pale yellow iris, yellow flag iris","Iris pseudacorus","346"
"white clover","Trifolium repens","342"
"aphid","Uroleucon spp.","341"
"honeysuckle aphid","Hyadaphis foeniculi","340"
"","","329"
"European common reed, Phragmites","Phragmites australis ssp. australis","327"
"spruce beetle","Dendroctonus rufipennis","318"
"poplar leaf aphid","Chaitophorus populicola","314"
"aphid","Nearctaphis crataegifoliae","313"
"aphid","Anoecia cornicola","303"
"Chenopodium aphid","Hayhurstia atriplicis","300"
